Fecha;Hora;S02;NO;NO2;PM10;O3;dd;vv;TMP;LL
03/01/2015;18:00:00;4;0.0;4;;82;221;4.8;14.8;0.0
03/01/2015;19:00:00;4;0.1;4;;77;227;4.3;14.3;0.0
03/01/2015;20:00:00;4;0.1;5;;76;220;3.3;14.1;0.0
03/01/2015;21:00:00;4;1.2;5;;72;214;2.6;13.9;0.0
03/01/2015;22:00:00;4;0.1;4;;74;225;2.5;13.7;0.0
03/01/2015;23:00:00;4;2.6;13;;62;241;2.1;13.3;0.0
03/01/2015;0:00:00;6;12.0;46;;7;306;0.6;8.9;0.0
04/01/2015;1:00:00;7;8.6;42;;6;306;0.4;8.7;0.0
04/01/2015;2:00:00;6;12.8;40;;6;162;1.0;7.4;0.0
04/01/2015;3:00:00;6;7.9;34;;6;197;1.0;7.2;0.0
04/01/2015;4:00:00;5;3.0;27;;10;267;0.8;6.8;0.0
04/01/2015;5:00:00;6;6.0;28;;5;155;1.0;6.3;0.0
04/01/2015;6:00:00;5;11.3;32;;3;124;0.8;6.0;0.0
04/01/2015;7:00:00;5;10.0;26;;18;186;1.6;7.2;0.1
04/01/2015;8:00:00;5;30.4;38;;3;170;1.1;7.8;0.3
04/01/2015;9:00:00;5;12.6;31;;11;64;2.1;8.0;0.3
04/01/2015;10:00:00;5;16.7;31;;16;209;1.9;10.1;0.3
04/01/2015;11:00:00;5;7.8;18;;41;156;2.5;13.4;0.3
04/01/2015;12:00:00;5;4.6;17;;48;152;1.8;15.4;0.3
04/01/2015;13:00:00;5;1.5;8;;63;191;1.0;17.5;0.3
04/01/2015;14:00:00;5;1.2;7;;72;246;2.1;17.0;0.3
04/01/2015;15:00:00;5;0.2;3;;80;242;2.1;16.7;0.3
04/01/2015;16:00:00;5;0.3;3;;84;231;1.6;17.0;0.3
04/01/2015;17:00:00;4;0.6;4;;86;237;1.5;16.6;0.3
04/01/2015;18:00:00;4;0.1;3;;77;199;1.0;15.1;0.3
04/01/2015;19:00:00;5;50.7;56;;33;171;0.6;13.3;0.3
04/01/2015;20:00:00;7;31.5;70;;5;311;1.4;11.6;0.3
04/01/2015;21:00:00;7;42.7;63;;4;146;1.5;10.4;0.3
04/01/2015;22:00:00;8;41.9;62;;4;291;1.3;9.7;0.3
04/01/2015;23:00:00;8;18.0;51;;4;298;1.1;9.2;0.3
04/01/2015;0:00:00;7;11.9;43;;4;302;1.3;8.6;0.3
05/01/2015;1:00:00;6;6.3;36;;10;308;1.6;8.5;0.3
05/01/2015;2:00:00;6;1.6;20;;24;312;1.6;8.0;0.0
05/01/2015;3:00:00;5;1.4;17;;23;240;1.5;7.7;0.0
05/01/2015;4:00:00;5;1.5;20;;18;207;1.0;7.2;0.2
05/01/2015;5:00:00;4;0.9;12;;28;303;1.5;7.2;0.3
05/01/2015;6:00:00;5;31.5;41;;8;220;1.5;6.8;0.3
05/01/2015;7:00:00;5;67.5;53;;2;292;2.0;6.9;0.3
05/01/2015;8:00:00;5;90.3;65;;2;310;2.0;7.2;0.3
05/01/2015;9:00:00;6;105.2;62;;3;60;1.8;6.5;0.3
05/01/2015;10:00:00;6;96.8;56;;4;100;1.5;8.4;0.3
05/01/2015;11:00:00;6;44.0;41;;14;58;1.7;11.0;0.3
05/01/2015;12:00:00;6;18.8;35;;30;124;1.0;14.3;0.3
05/01/2015;13:00:00;6;2.0;9;;66;243;1.1;16.6;0.3
05/01/2015;14:00:00;5;1.2;5;;76;214;1.6;16.5;0.3
05/01/2015;15:00:00;5;1.2;5;;77;211;1.9;16.3;0.3
05/01/2015;16:00:00;4;1.2;4;;79;205;1.7;16.1;0.3
05/01/2015;17:00:00;5;2.8;7;;76;207;1.7;15.6;0.3
05/01/2015;18:00:00;5;0.6;4;;76;215;1.8;14.4;0.3
05/01/2015;19:00:00;4;0.0;2;;73;221;1.8;13.7;0.3
05/01/2015;20:00:00;4;12.3;27;;43;146;1.2;12.8;0.3
05/01/2015;21:00:00;6;33.8;58;;4;112;1.1;11.2;0.3
05/01/2015;22:00:00;7;56.7;60;;3;270;0.9;10.8;0.3
05/01/2015;23:00:00;9;97.0;62;;4;307;0.9;10.3;0.3
05/01/2015;0:00:00;10;91.7;50;;5;110;0.8;9.3;0.3
06/01/2015;1:00:00;10;35.2;33;;4;65;1.2;8.6;0.3
06/01/2015;2:00:00;7;5.0;22;;8;54;1.3;8.4;0.0
06/01/2015;3:00:00;6;4.8;27;;11;201;1.3;8.6;0.0
06/01/2015;4:00:00;6;8.5;25;;10;213;1.2;8.4;0.0
06/01/2015;5:00:00;6;26.7;36;;2;129;1.5;8.5;0.0
06/01/2015;6:00:00;5;3.3;25;;14;269;1.2;9.2;0.0
06/01/2015;7:00:00;5;18.7;31;;8;269;1.1;9.6;0.0
06/01/2015;8:00:00;5;17.1;32;;8;298;1.0;9.9;0.0
06/01/2015;9:00:00;5;16.0;35;;5;311;1.1;10.3;0.0
06/01/2015;10:00:00;5;28.7;46;;6;269;1.2;11.2;0.0
06/01/2015;11:00:00;5;18.4;42;;11;142;0.7;12.0;0.0
06/01/2015;12:00:00;6;10.3;35;;26;63;0.4;13.4;0.0
06/01/2015;13:00:00;5;2.6;28;;39;132;0.2;14.1;0.0
06/01/2015;14:00:00;5;1.1;13;;61;206;0.9;14.4;0.0
06/01/2015;15:00:00;5;1.2;11;;65;232;1.0;14.6;0.0
06/01/2015;16:00:00;5;0.8;6;;74;229;0.9;14.6;0.0
06/01/2015;17:00:00;5;1.0;10;;69;261;1.5;14.5;0.0
06/01/2015;18:00:00;5;1.4;29;;45;304;0.9;14.2;0.0
06/01/2015;19:00:00;5;1.2;27;;39;311;0.3;14.1;0.0
06/01/2015;20:00:00;6;51.6;74;;3;222;0.3;13.5;0.0
06/01/2015;21:00:00;7;46.1;71;;5;182;0.9;13.2;0.0
06/01/2015;22:00:00;8;21.9;53;;5;63;0.7;12.8;0.0
06/01/2015;23:00:00;8;20.5;49;;5;271;1.0;12.7;0.0
06/01/2015;0:00:00;7;3.3;31;;14;310;1.1;12.6;0.0
07/01/2015;1:00:00;7;2.2;24;;16;317;1.1;11.9;0.0
07/01/2015;2:00:00;6;1.1;11;;34;308;1.7;10.6;0.0
07/01/2015;3:00:00;5;1.0;11;;32;292;1.6;9.5;0.0
07/01/2015;4:00:00;4;0.9;10;;35;315;1.9;9.0;0.0
07/01/2015;5:00:00;5;12.4;29;;12;158;1.7;7.7;0.0
07/01/2015;6:00:00;4;11.3;31;;15;216;1.9;7.7;0.0
07/01/2015;7:00:00;5;41.9;45;;4;55;1.8;7.1;0.0
07/01/2015;8:00:00;6;142.0;73;;2;304;1.7;7.4;0.0
07/01/2015;9:00:00;6;138.5;74;;2;272;1.2;7.3;0.0
07/01/2015;10:00:00;7;128.3;76;;4;321;1.2;9.7;0.0
07/01/2015;11:00:00;7;52.3;56;;12;225;0.9;13.1;0.0
07/01/2015;12:00:00;6;7.3;25;;43;166;0.8;15.1;0.3
07/01/2015;13:00:00;6;3.4;16;;56;269;0.7;17.2;0.3
07/01/2015;14:00:00;5;1.6;12;;69;238;1.0;16.0;0.3
07/01/2015;15:00:00;5;2.0;6;;79;229;1.5;16.5;0.3
07/01/2015;16:00:00;5;1.6;13;;65;292;2.0;16.3;0.3
07/01/2015;17:00:00;5;3.0;28;;45;254;2.0;15.9;0.3
07/01/2015;18:00:00;6;7.1;34;;32;49;2.6;13.9;0.3
07/01/2015;19:00:00;5;8.0;40;;25;62;1.8;12.6;0.3
07/01/2015;20:00:00;6;57.1;77;;2;278;1.0;11.6;0.3
07/01/2015;21:00:00;7;29.5;58;;4;279;1.4;10.8;0.3
07/01/2015;22:00:00;7;28.0;52;;2;312;1.9;9.6;0.3
07/01/2015;23:00:00;6;30.9;47;;2;317;1.6;8.8;0.3
07/01/2015;0:00:00;6;11.8;35;;8;300;1.9;8.7;0.3
08/01/2015;1:00:00;5;2.9;23;;14;309;1.9;8.3;0.3
08/01/2015;2:00:00;5;2.1;21;;17;289;2.0;7.8;0.0
08/01/2015;3:00:00;5;2.2;13;;25;327;2.1;7.5;0.0
08/01/2015;4:00:00;5;1.4;14;;21;169;1.8;7.0;0.0
08/01/2015;5:00:00;4;11.2;32;;7;252;1.8;6.7;0.0
08/01/2015;6:00:00;5;16.5;34;;7;218;1.3;6.4;0.0
08/01/2015;7:00:00;5;52.9;44;;4;221;1.1;6.1;0.0
08/01/2015;8:00:00;8;280.1;84;;2;207;0.9;5.9;0.0
08/01/2015;9:00:00;8;234.4;83;;2;99;1.4;5.6;0.0
08/01/2015;10:00:00;8;213.3;76;;3;134;1.2;7.6;0.0
08/01/2015;11:00:00;6;54.3;48;;9;102;1.0;10.9;0.0
08/01/2015;12:00:00;6;30.8;45;;20;146;0.5;14.7;0.0
08/01/2015;13:00:00;6;4.4;16;;56;206;1.4;15.2;0.0
08/01/2015;14:00:00;5;3.3;14;;56;183;1.9;15.2;0.0
08/01/2015;15:00:00;6;1.6;9;;65;238;1.9;16.6;0.0
08/01/2015;16:00:00;5;1.9;12;;62;318;3.3;15.9;0.0
08/01/2015;17:00:00;5;2.0;13;;60;324;3.3;14.7;0.0
08/01/2015;18:00:00;5;1.3;24;;48;311;2.4;13.4;0.0
08/01/2015;19:00:00;5;6.2;39;;32;279;1.1;12.4;0.0
08/01/2015;20:00:00;7;117.5;94;;2;233;0.8;10.9;0.0
08/01/2015;21:00:00;7;15.7;60;;8;309;1.5;9.9;0.0
08/01/2015;22:00:00;6;18.3;53;;12;314;1.9;8.7;0.0
08/01/2015;23:00:00;6;16.9;50;;7;215;1.5;7.6;0.0
08/01/2015;0:00:00;6;14.9;37;;4;58;1.4;5.7;0.0
09/01/2015;1:00:00;6;12.9;29;;4;66;1.1;5.3;0.0
09/01/2015;2:00:00;6;6.9;27;;6;177;1.1;5.3;0.0
09/01/2015;3:00:00;5;3.1;21;;16;249;1.1;5.5;0.0
09/01/2015;4:00:00;5;3.3;18;;11;154;1.7;4.4;0.0
09/01/2015;5:00:00;4;1.4;13;;22;304;1.1;5.1;0.2
09/01/2015;6:00:00;4;9.1;25;;18;222;1.3;5.6;0.3
09/01/2015;7:00:00;5;50.1;36;;2;55;1.4;3.3;0.3
09/01/2015;8:00:00;7;151.8;57;;2;128;1.2;3.7;0.3
09/01/2015;9:00:00;8;214.7;74;;2;52;1.4;4.1;0.3
09/01/2015;10:00:00;8;197.9;76;;3;152;1.1;7.2;0.3
09/01/2015;11:00:00;6;65.8;59;;9;151;0.2;11.8;0.3
09/01/2015;12:00:00;6;17.9;36;;34;199;1.4;14.4;0.3
09/01/2015;13:00:00;6;9.0;19;;62;232;4.7;15.7;0.3
09/01/2015;14:00:00;7;2.8;10;;68;233;5.1;16.2;0.3
09/01/2015;15:00:00;6;1.3;4;;77;234;5.2;16.4;0.3
09/01/2015;16:00:00;6;1.6;5;;80;231;4.2;16.3;0.3
09/01/2015;17:00:00;5;1.6;6;;82;232;3.9;15.9;0.3
09/01/2015;18:00:00;5;0.7;7;;81;237;3.3;15.1;0.3
09/01/2015;19:00:00;5;0.2;7;;80;248;2.4;14.3;0.3
09/01/2015;20:00:00;5;0.3;11;;75;239;3.4;13.7;0.3
09/01/2015;21:00:00;7;97.1;83;;11;230;0.7;10.9;0.3
09/01/2015;22:00:00;8;59.6;72;;3;90;1.3;8.9;0.3
09/01/2015;23:00:00;8;50.3;66;;2;193;0.7;8.1;0.3
09/01/2015;0:00:00;8;65.3;60;;6;175;0.9;7.1;0.3
10/01/2015;1:00:00;9;57.1;57;;4;219;0.9;7.9;0.3
10/01/2015;2:00:00;7;14.1;24;;38;201;3.1;9.6;0.0
10/01/2015;3:00:00;5;0.7;2;;76;229;4.4;13.0;0.0
10/01/2015;4:00:00;4;0.3;3;;75;223;4.7;13.0;0.0
10/01/2015;5:00:00;4;0.6;7;;66;246;3.4;12.6;0.0
10/01/2015;6:00:00;5;0.9;12;;58;230;3.6;12.1;0.0
10/01/2015;7:00:00;4;14.7;29;;37;265;1.6;12.0;0.0
10/01/2015;8:00:00;5;40.3;32;;30;223;2.1;10.4;0.0
10/01/2015;9:00:00;6;121.9;60;;11;257;1.2;10.2;0.0
10/01/2015;10:00:00;6;37.9;26;;46;221;3.3;13.5;0.0
10/01/2015;11:00:00;5;1.1;5;;66;212;4.0;15.2;0.0
10/01/2015;12:00:00;5;1.1;4;;71;202;3.5;16.0;0.0
10/01/2015;13:00:00;5;1.6;7;;71;202;4.3;16.3;0.0
10/01/2015;14:00:00;5;1.6;8;;76;207;4.9;16.2;0.0
10/01/2015;15:00:00;6;0.5;3;;83;207;4.5;16.1;0.0
10/01/2015;16:00:00;5;0.6;3;;85;214;4.9;15.8;0.0
10/01/2015;17:00:00;5;0.9;3;;86;215;4.3;15.4;0.0
10/01/2015;18:00:00;5;0.1;2;;86;218;3.7;14.7;0.0
10/01/2015;19:00:00;5;0.2;2;;83;224;3.0;14.4;0.0
10/01/2015;20:00:00;5;0.3;8;;76;233;2.4;14.1;0.0
10/01/2015;21:00:00;4;0.2;3;;81;230;2.5;14.1;0.0
10/01/2015;22:00:00;4;0.5;3;;83;235;2.3;14.2;0.0
10/01/2015;23:00:00;4;1.5;11;;69;248;2.0;13.7;0.0
10/01/2015;0:00:00;6;23.5;46;;4;168;0.5;10.9;0.0
11/01/2015;1:00:00;7;16.7;34;;7;252;0.5;10.1;0.0
11/01/2015;2:00:00;6;2.3;26;;9;239;0.4;10.2;0.0
11/01/2015;3:00:00;6;1.9;26;;9;277;0.5;10.0;0.0
11/01/2015;4:00:00;5;1.4;19;;20;293;1.2;9.3;0.0
11/01/2015;5:00:00;5;1.5;16;;23;287;1.1;8.5;0.0
11/01/2015;6:00:00;5;1.1;12;;25;317;1.4;8.0;0.0
11/01/2015;7:00:00;4;3.5;21;;16;299;0.9;7.5;0.0
11/01/2015;8:00:00;5;28.2;32;;3;106;1.1;6.4;0.0
11/01/2015;9:00:00;5;24.4;33;;4;222;1.3;6.7;0.2
11/01/2015;10:00:00;5;19.9;28;;12;159;2.1;8.5;0.3
11/01/2015;11:00:00;5;8.1;18;;33;131;2.4;11.9;0.3
11/01/2015;12:00:00;5;5.1;16;;43;156;1.8;15.2;0.3
11/01/2015;13:00:00;6;2.1;10;;55;154;1.2;17.6;0.3
11/01/2015;14:00:00;5;0.8;5;;66;197;2.8;17.8;0.3
11/01/2015;15:00:00;5;0.2;2;;75;193;3.5;16.6;0.3
11/01/2015;16:00:00;5;0.1;2;;80;184;3.8;16.2;0.3
11/01/2015;17:00:00;4;0.0;2;;80;178;3.4;16.1;0.3
11/01/2015;18:00:00;4;0.0;2;;76;157;2.6;15.5;0.3
11/01/2015;19:00:00;4;0.0;3;;74;145;1.7;14.8;0.3
11/01/2015;20:00:00;5;15.8;55;;26;175;0.7;14.4;0.3
11/01/2015;21:00:00;6;31.3;66;;7;231;1.5;13.0;0.3
11/01/2015;22:00:00;6;4.0;18;;30;47;2.5;12.1;0.3
11/01/2015;23:00:00;5;1.3;11;;43;45;3.0;11.7;0.3
11/01/2015;0:00:00;5;1.5;16;;40;55;2.5;10.7;0.3
12/01/2015;1:00:00;5;1.4;19;;34;189;1.5;9.9;
12/01/2015;2:00:00;5;1.6;23;;26;269;1.3;9.2;
12/01/2015;3:00:00;4;1.2;16;;22;253;1.4;8.3;
12/01/2015;4:00:00;5;2.1;17;;20;240;1.7;7.8;
12/01/2015;5:00:00;4;8.1;24;;11;56;1.3;6.9;
12/01/2015;6:00:00;4;45.9;41;;6;182;1.0;7.2;
12/01/2015;7:00:00;5;65.7;40;;2;58;1.2;6.0;
12/01/2015;8:00:00;7;221.4;71;;2;90;0.8;6.0;
12/01/2015;9:00:00;9;293.5;89;;2;80;0.3;6.7;
12/01/2015;10:00:00;9;254.3;92;;2;145;0.5;11.6;
12/01/2015;11:00:00;6;15.8;25;;33;161;1.2;14.5;
12/01/2015;12:00:00;6;1.4;9;;59;174;1.0;16.0;
12/01/2015;13:00:00;5;1.7;10;;62;186;1.5;16.6;
12/01/2015;14:00:00;5;1.9;9;;68;221;2.4;17.5;
12/01/2015;15:00:00;5;1.6;7;;73;224;4.4;17.1;
12/01/2015;16:00:00;5;2.0;8;;75;223;4.9;16.3;
12/01/2015;17:00:00;5;8.1;13;;69;225;4.5;15.5;
12/01/2015;18:00:00;5;1.1;6;;74;229;3.9;14.6;
12/01/2015;19:00:00;5;0.8;4;;76;227;3.5;13.9;
12/01/2015;20:00:00;4;0.9;5;;74;231;3.1;13.6;
12/01/2015;21:00:00;5;3.3;36;;36;292;1.5;12.4;
12/01/2015;22:00:00;7;25.3;56;;4;303;0.8;10.0;
12/01/2015;23:00:00;7;14.0;48;;7;306;1.2;8.5;
12/01/2015;0:00:00;6;4.8;36;;11;305;1.2;8.0;
13/01/2015;1:00:00;5;6.6;34;;9;228;1.3;7.3;0.3
13/01/2015;2:00:00;5;1.5;20;;22;305;1.2;7.6;0.0
13/01/2015;3:00:00;4;1.1;21;;22;252;1.6;7.6;0.0
13/01/2015;4:00:00;5;1.5;13;;24;272;0.8;8.4;0.0
13/01/2015;5:00:00;5;1.2;17;;26;284;1.7;8.9;0.0
13/01/2015;6:00:00;4;2.8;23;;23;312;1.4;8.9;0.0
13/01/2015;7:00:00;4;17.6;39;;16;239;1.5;9.7;0.0
13/01/2015;8:00:00;6;118.9;67;;2;159;1.4;9.1;0.0
13/01/2015;9:00:00;7;115.1;70;;3;172;1.7;9.4;0.0
13/01/2015;10:00:00;7;90.5;67;;3;112;1.2;10.2;0.0
13/01/2015;11:00:00;8;107.5;73;;3;264;0.6;11.8;0.0
13/01/2015;12:00:00;12;62.4;65;;23;131;1.2;13.1;0.0
13/01/2015;13:00:00;5;23.3;40;;35;178;1.1;14.5;0.0
13/01/2015;14:00:00;4;2.0;10;;69;226;1.1;16.2;0.0
13/01/2015;15:00:00;4;1.3;6;;77;242;1.5;16.0;0.0
13/01/2015;16:00:00;4;0.9;3;;82;215;1.6;16.0;0.0
13/01/2015;17:00:00;3;0.2;2;;83;178;1.5;15.4;0.0
13/01/2015;18:00:00;3;0.0;2;;78;176;1.1;14.4;0.0
13/01/2015;19:00:00;4;0.0;2;;59;175;0.6;12.8;0.0
13/01/2015;20:00:00;5;53.8;65;;13;190;1.2;11.6;0.0
13/01/2015;21:00:00;7;80.6;72;;3;177;0.7;10.6;0.0
13/01/2015;22:00:00;8;78.7;61;;4;56;1.0;9.3;0.0
13/01/2015;23:00:00;8;48.8;48;;2;49;1.1;8.2;0.0
13/01/2015;0:00:00;7;45.6;39;;2;121;0.9;7.5;0.0
14/01/2015;1:00:00;6;25.0;37;;5;257;0.9;7.7;0.2
14/01/2015;2:00:00;5;3.4;23;;12;197;1.0;7.2;0.0
14/01/2015;3:00:00;5;17.6;26;;2;50;1.4;5.7;0.0
14/01/2015;4:00:00;5;9.5;28;;4;101;1.1;5.8;0.0
14/01/2015;5:00:00;5;11.6;24;;7;176;1.0;5.9;0.0
14/01/2015;6:00:00;4;18.7;32;;5;151;1.0;5.6;0.1
14/01/2015;7:00:00;6;144.0;49;;1;115;1.1;5.4;0.3
14/01/2015;8:00:00;5;100.2;52;;2;155;1.5;5.3;0.3
14/01/2015;9:00:00;6;138.4;69;;2;301;1.0;6.7;0.3
14/01/2015;10:00:00;8;244.7;89;;2;301;1.0;8.4;0.3
14/01/2015;11:00:00;8;144.5;77;;3;198;0.3;12.8;0.3
14/01/2015;12:00:00;6;57.3;55;;10;183;0.4;15.6;0.3
14/01/2015;13:00:00;6;9.6;27;;40;273;2.0;17.6;0.3
14/01/2015;14:00:00;5;4.1;17;;56;316;3.5;19.5;0.3
14/01/2015;15:00:00;4;4.1;20;;55;316;2.4;19.9;0.3
14/01/2015;16:00:00;4;2.8;17;;59;296;2.3;19.9;0.3
14/01/2015;17:00:00;4;2.0;20;;57;296;1.9;19.5;0.3
14/01/2015;18:00:00;4;2.6;44;;35;308;1.9;17.6;0.3
14/01/2015;19:00:00;5;7.2;68;;14;323;1.9;15.2;0.3
14/01/2015;20:00:00;6;90.6;88;;3;131;0.8;12.8;0.3
14/01/2015;21:00:00;7;65.1;75;;4;313;0.9;11.6;0.3
14/01/2015;22:00:00;7;17.6;58;;5;312;1.5;10.8;0.3
14/01/2015;23:00:00;6;9.0;50;;7;312;1.2;10.1;0.3
14/01/2015;0:00:00;6;24.1;46;;4;168;1.4;8.7;0.3
15/01/2015;1:00:00;6;38.4;41;;2;185;1.1;7.6;0.3
15/01/2015;2:00:00;7;37.2;36;;2;96;1.4;7.0;0.0
15/01/2015;3:00:00;6;21.8;30;;2;90;1.2;6.3;0.0
15/01/2015;4:00:00;5;12.2;22;;5;212;0.7;6.0;0.0
15/01/2015;5:00:00;4;7.4;26;;7;184;1.1;6.1;0.0
15/01/2015;6:00:00;5;33.4;35;;3;160;1.6;6.0;0.0
15/01/2015;7:00:00;5;82.5;62;;1;315;1.4;6.7;0.0
15/01/2015;8:00:00;6;151.6;78;;2;170;1.3;6.5;0.0
15/01/2015;9:00:00;7;180.8;85;;2;172;1.1;6.7;0.0
15/01/2015;10:00:00;7;188.4;75;;2;54;1.4;7.7;0.0
15/01/2015;11:00:00;6;76.0;57;;7;58;1.1;10.9;0.0
15/01/2015;12:00:00;4;10.9;25;;44;130;1.2;14.2;0.0
15/01/2015;13:00:00;4;1.4;8;;66;198;1.0;15.2;0.0
15/01/2015;14:00:00;4;1.2;7;;71;259;1.0;15.4;0.0
15/01/2015;15:00:00;4;1.3;9;;72;237;1.3;15.2;0.0
15/01/2015;16:00:00;4;1.2;9;;80;224;2.1;15.7;0.0
15/01/2015;17:00:00;4;3.8;8;;84;214;2.8;15.2;0.0
15/01/2015;18:00:00;4;0.1;3;;85;209;2.4;14.5;0.0
15/01/2015;19:00:00;3;0.1;2;;83;205;1.8;14.5;0.0
15/01/2015;20:00:00;3;0.0;2;;82;217;1.9;14.4;0.0
15/01/2015;21:00:00;3;0.1;3;;78;206;1.9;14.3;0.0
15/01/2015;22:00:00;5;30.8;53;;25;203;0.7;12.7;0.0
15/01/2015;23:00:00;6;22.0;24;;55;197;1.8;13.4;0.0
15/01/2015;0:00:00;4;0.4;2;;84;218;3.3;14.5;0.0
16/01/2015;1:00:00;4;0.1;2;;89;205;4.0;14.4;0.0
16/01/2015;2:00:00;4;0.0;3;;86;203;3.4;14.5;0.0
16/01/2015;3:00:00;3;0.0;2;;84;204;4.1;14.7;0.0
16/01/2015;4:00:00;3;0.0;2;;80;210;5.6;14.8;0.0
16/01/2015;5:00:00;4;0.0;2;;78;211;6.2;15.0;0.0
16/01/2015;6:00:00;4;0.0;4;;68;206;5.8;15.1;0.0
16/01/2015;7:00:00;4;0.2;6;;61;212;6.8;15.1;0.0
16/01/2015;8:00:00;3;1.3;5;;66;216;7.0;15.1;0.0
