Fecha;Hora;S02;NO;NO2;PM10;O3;dd;vv;TMP;LL
01/01/2015;1:00:00;4;0.6;11;;56;172;0.7;8.7;0.0
01/01/2015;2:00:00;4;10.2;35;;37;223;0.4;8.4;0.0
01/01/2015;3:00:00;4;6.4;52;;23;257;0.7;8.6;0.0
01/01/2015;4:00:00;4;1.9;42;;22;136;0.4;7.7;0.0
01/01/2015;5:00:00;4;2.9;37;;27;276;1.5;7.4;0.0
01/01/2015;6:00:00;4;1.1;24;;42;314;1.3;7.7;0.0
01/01/2015;7:00:00;4;9.2;46;;12;128;1.1;6.2;0.0
01/01/2015;8:00:00;4;21.7;42;;15;251;0.5;6.6;0.0
01/01/2015;9:00:00;5;29.5;50;;5;60;1.1;5.3;0.0
01/01/2015;10:00:00;4;13.5;29;;15;139;0.7;6.8;0.0
01/01/2015;11:00:00;4;10.2;22;;26;105;0.9;9.9;0.0
01/01/2015;12:00:00;4;0.8;4;;58;159;1.7;12.5;0.0
01/01/2015;13:00:00;4;0.0;2;;69;170;1.9;13.8;0.0
01/01/2015;14:00:00;4;0.0;2;;73;199;2.0;14.3;0.0
01/01/2015;15:00:00;4;0.3;3;;76;221;2.2;14.6;0.0
01/01/2015;16:00:00;4;0.3;2;;78;227;2.0;14.6;0.0
01/01/2015;17:00:00;4;0.8;3;;79;217;2.3;13.9;0.0
01/01/2015;18:00:00;4;0.6;15;;66;290;1.4;12.7;0.0
01/01/2015;19:00:00;4;1.1;32;;48;317;1.6;11.0;0.0
01/01/2015;20:00:00;5;5.2;46;;30;313;1.7;9.7;0.0
01/01/2015;21:00:00;7;9.0;47;;20;302;1.6;8.3;0.0
01/01/2015;22:00:00;7;16.7;47;;9;49;1.6;6.9;0.0
01/01/2015;23:00:00;7;31.7;48;;5;91;1.2;5.7;0.0
01/01/2015;0:00:00;7;17.6;37;;8;86;1.5;4.7;0.0
02/01/2015;1:00:00;6;14.5;33;;7;67;1.5;4.3;0.0
02/01/2015;2:00:00;5;6.0;24;;11;81;1.2;3.8;0.0
02/01/2015;3:00:00;6;16.7;32;;4;101;1.1;3.5;0.0
02/01/2015;4:00:00;5;17.1;17;;10;91;1.3;2.7;0.0
02/01/2015;5:00:00;5;13.9;28;;4;65;1.0;2.8;0.0
02/01/2015;6:00:00;6;39.6;37;;2;46;1.3;2.7;0.0
02/01/2015;7:00:00;6;141.9;56;;2;74;1.1;3.2;0.0
02/01/2015;8:00:00;7;193.8;68;;2;216;1.0;3.3;0.0
02/01/2015;9:00:00;7;192.6;81;;2;188;1.4;3.8;0.2
02/01/2015;10:00:00;7;113.6;64;;3;190;1.2;5.7;0.3
02/01/2015;11:00:00;6;86.2;68;;8;269;0.8;9.9;0.3
02/01/2015;12:00:00;5;16.5;32;;39;255;0.4;14.3;0.3
02/01/2015;13:00:00;5;3.6;17;;57;200;1.3;14.6;0.3
02/01/2015;14:00:00;5;2.4;12;;62;181;2.2;14.8;0.3
02/01/2015;15:00:00;5;0.8;5;;77;205;1.8;15.9;0.3
02/01/2015;16:00:00;4;0.9;4;;80;224;2.3;16.3;0.3
02/01/2015;17:00:00;4;2.8;18;;63;263;1.3;16.5;0.3
02/01/2015;18:00:00;5;37.0;70;;14;138;0.3;14.4;0.3
02/01/2015;19:00:00;7;114.6;104;;3;77;1.1;11.9;0.3
02/01/2015;20:00:00;8;111.5;97;;6;151;1.1;10.3;0.3
02/01/2015;21:00:00;10;171.3;104;;4;161;0.8;9.1;0.3
02/01/2015;22:00:00;10;119.2;77;;7;57;0.9;7.8;0.3
02/01/2015;23:00:00;10;115.4;65;;5;63;1.0;6.4;0.3
02/01/2015;0:00:00;9;71.2;58;;3;142;0.9;5.4;0.3
03/01/2015;1:00:00;9;77.5;46;;6;43;1.0;4.4;0.3
03/01/2015;2:00:00;9;40.8;40;;4;54;1.3;3.8;0.0
03/01/2015;3:00:00;8;40.7;45;;;275;0.9;4.3;0.0
03/01/2015;4:00:00;7;30.8;37;;;220;0.9;3.0;0.0
03/01/2015;5:00:00;7;52.9;39;;;110;1.0;3.1;0.0
03/01/2015;6:00:00;7;53.3;44;;;182;0.7;3.7;0.0
03/01/2015;7:00:00;7;94.8;54;;;178;0.8;3.5;0.0
03/01/2015;8:00:00;6;11.7;15;;44;216;3.4;11.6;0.0
03/01/2015;9:00:00;6;62.9;35;;35;174;2.4;9.8;0.0
03/01/2015;10:00:00;5;1.1;5;;68;222;3.8;13.9;0.0
03/01/2015;11:00:00;4;1.1;4;;70;218;4.6;14.5;0.0
03/01/2015;12:00:00;4;1.0;3;;75;215;5.0;15.2;0.0
03/01/2015;13:00:00;5;1.3;5;;76;217;4.5;16.1;0.0
03/01/2015;14:00:00;5;1.4;5;;79;220;5.2;16.4;0.0
03/01/2015;15:00:00;5;0.7;3;;84;218;5.3;16.4;0.0
03/01/2015;16:00:00;5;1.2;6;;82;226;5.5;16.3;0.0
03/01/2015;17:00:00;5;0.7;5;;85;221;4.7;15.8;0.0
