Fecha;NO;NO2;O3;SO2;PM10;dd;vv;TMP;HR;NOX;RS
01/01/2014;3;11;71;10;14;252;1;12;72;16;89
02/01/2014;10;32;39;6;26;226;0;12;94;47;2
03/01/2014;11;21;51;5;16;252;1;15;82;37;96
04/01/2014;5;11;75;9;18;258;2;15;69;18;95
05/01/2014;3;9;94;;15;254;1;13;53;13;98
06/01/2014;3;12;67;4;14;262;1;12;77;17;101
07/01/2014;7;26;52;5;27;248;1;11;59;37;81
08/01/2014;5;23;53;;24;236;1;10;68;30;106
09/01/2014;7;25;51;5;30;233;1;9;75;35;100
10/01/2014;7;26;19;13;34;211;0;8;99;38;42
11/01/2014;5;21;22;26;28;229;0;10;97;28;62
12/01/2014;3;11;31;20;24;236;1;11;86;16;105
13/01/2014;5;16;35;10;21;277;1;11;82;22;21
14/01/2014;3;8;65;6;8;281;1;12;65;12;88
15/01/2014;5;18;38;;13;245;1;13;85;25;95
16/01/2014;8;22;12;7;20;232;0;11;99;34;26
17/01/2014;4;17;45;6;16;233;1;10;84;23;104
18/01/2014;3;13;47;11;10;215;1;11;86;17;77
19/01/2014;3;6;57;;5;285;1;9;82;10;40
20/01/2014;3;14;53;6;10;283;1;9;67;19;111
21/01/2014;4;22;41;4;10;281;1;8;79;28;123
22/01/2014;6;19;35;17;11;274;1;10;84;28;83
23/01/2014;4;13;55;7;9;229;1;11;69;19;123
24/01/2014;4;13;62;;10;283;1;13;56;20;168
25/01/2014;3;6;62;;8;302;2;18;53;11;110
26/01/2014;4;8;57;;9;265;1;16;56;14;186
27/01/2014;5;9;61;;18;279;2;15;56;16;188
28/01/2014;5;23;54;;16;252;1;10;61;31;151
29/01/2014;4;12;69;7;13;257;1;12;59;18;88
30/01/2014;4;12;60;9;10;289;1;9;57;19;122
31/01/2014;5;19;51;9;11;280;1;11;60;26;94
01/02/2014;4;13;45;10;11;279;1;11;73;20;55
02/02/2014;4;11;58;12;9;273;1;9;59;17;135
03/02/2014;5;14;48;12;21;264;1;8;71;22;87
04/02/2014;5;18;57;14;20;229;1;10;64;26;114
05/02/2014;4;13;62;13;18;226;1;16;63;19;29
06/02/2014;7;23;36;13;21;222;1;14;83;34;145
07/02/2014;4;10;70;16;19;284;2;13;53;16;154
08/02/2014;5;14;50;16;18;257;1;13;67;22;121
09/02/2014;4;10;59;16;16;181;2;13;75;15;56
10/02/2014;4;5;75;;15;284;3;12;52;11;161
11/02/2014;6;18;58;;17;253;1;10;58;27;35
12/02/2014;6;21;38;;17;226;1;13;76;30;146
13/02/2014;12;19;32;6;19;260;1;17;73;36;132
14/02/2014;6;21;33;5;20;227;1;17;73;29;159
15/02/2014;5;14;39;6;62;242;1;14;68;21;150
16/02/2014;4;11;53;6;31;214;1;14;75;17;123
17/02/2014;4;18;46;7;21;141;0;12;93;25;26
18/02/2014;4;12;42;8;42;252;1;13;85;19;38
19/02/2014;4;11;60;8;12;308;1;12;63;18;167
20/02/2014;4;16;60;8;22;261;1;13;60;23;175
21/02/2014;4;13;54;7;11;251;1;15;61;19;153
22/02/2014;4;9;67;8;16;271;1;11;59;14;177
23/02/2014;4;12;58;6;14;211;1;9;62;18;182
24/02/2014;6;26;36;7;21;243;1;7;86;35;41
25/02/2014;5;18;50;7;16;245;1;11;74;25;152
26/02/2014;4;14;61;9;14;285;1;11;59;21;149
27/02/2014;6;23;52;10;19;245;1;11;58;33;103
28/02/2014;5;12;62;8;27;273;2;14;60;19;135
01/03/2014;4;7;67;8;8;259;1;16;58;13;86
02/03/2014;4;6;53;7;5;286;1;18;60;12;147
03/03/2014;4;7;76;7;44;291;3;16;48;12;192
04/03/2014;5;12;75;8;21;286;1;13;47;18;194
05/03/2014;6;20;48;8;17;255;1;14;61;29;178
06/03/2014;6;19;52;8;20;211;1;13;70;28;193
07/03/2014;5;20;78;8;21;150;1;13;76;28;197
08/03/2014;5;19;72;8;18;204;1;10;62;26;206
09/03/2014;5;14;82;8;19;206;1;10;64;21;206
10/03/2014;5;17;71;10;25;230;1;11;80;24;206
11/03/2014;5;25;65;9;29;194;1;11;67;33;188
12/03/2014;5;22;71;11;26;188;1;10;79;29;46
13/03/2014;5;18;68;10;22;178;1;11;82;26;134
14/03/2014;5;17;73;10;23;247;1;12;72;24;102
15/03/2014;5;17;87;11;35;249;1;14;56;23;191
16/03/2014;5;14;76;10;28;235;1;15;49;21;208
17/03/2014;6;22;66;11;31;239;1;16;44;31;217
18/03/2014;5;21;67;11;35;232;1;16;46;29;216
19/03/2014;5;16;71;10;30;154;1;14;71;23;209
20/03/2014;5;20;61;11;33;227;1;13;83;28;210
21/03/2014;6;22;61;11;39;222;1;15;79;31;208
22/03/2014;5;16;61;10;29;271;1;18;62;23;151
23/03/2014;5;11;78;11;17;220;1;14;57;18;195
24/03/2014;5;15;68;12;29;246;2;13;59;23;223
25/03/2014;5;9;92;12;51;288;2;17;37;16;207
26/03/2014;5;10;82;12;16;300;2;12;57;17;234
27/03/2014;5;19;68;14;19;239;1;12;62;27;159
28/03/2014;5;19;62;13;29;175;1;12;81;27;173
29/03/2014;4;11;91;12;49;102;2;14;82;18;139
30/03/2014;4;12;80;12;14;261;1;14;64;18;196
31/03/2014;5;16;70;13;21;230;2;14;57;23;239
01/04/2014;6;25;59;13;28;178;1;14;64;34;131
02/04/2014;5;18;65;12;33;248;1;16;65;26;132
03/04/2014;5;14;69;10;11;264;1;15;65;22;225
04/04/2014;5;10;82;11;12;279;2;17;46;17;240
05/04/2014;4;11;72;10;13;251;2;19;56;17;159
06/04/2014;4;11;64;10;12;239;1;20;60;17;241
07/04/2014;6;18;57;11;21;223;2;20;56;26;243
08/04/2014;6;19;59;11;25;225;2;20;49;28;242
09/04/2014;5;17;68;12;31;161;1;18;68;25;231
10/04/2014;5;20;;10;38;205;2;19;55;28;207
11/04/2014;5;27;54;9;49;211;1;20;48;35;119
12/04/2014;5;20;65;9;36;224;1;18;60;28;167
13/04/2014;5;10;89;9;21;190;1;20;66;17;238
14/04/2014;5;18;67;9;24;186;1;17;64;26;208
15/04/2014;5;22;69;8;36;237;1;18;55;30;189
16/04/2014;5;18;73;;34;213;1;20;45;25;251
17/04/2014;6;20;66;;32;195;1;19;57;28;240
18/04/2014;4;15;72;;30;212;1;18;69;21;222
19/04/2014;4;13;79;;33;245;1;22;51;19;152
20/04/2014;4;8;76;;15;262;1;20;48;15;182
21/04/2014;5;16;65;;14;240;1;18;58;23;128
22/04/2014;5;12;67;;12;272;1;19;53;18;253
23/04/2014;5;14;64;;18;242;1;19;52;21;258
24/04/2014;7;18;64;;31;254;2;19;54;28;238
25/04/2014;4;10;88;;14;277;1;18;37;16;260
26/04/2014;5;12;80;;20;221;2;20;40;19;249
27/04/2014;5;10;66;;15;234;2;21;52;17;260
28/04/2014;5;15;64;;24;231;2;20;50;22;265
29/04/2014;5;17;67;;29;221;1;22;45;24;235
30/04/2014;6;24;65;7;39;188;1;21;53;34;258
01/05/2014;4;14;70;7;23;177;1;20;58;20;257
02/05/2014;5;15;67;7;27;170;1;20;55;22;259
03/05/2014;4;10;66;8;20;220;1;17;60;17;265
04/05/2014;5;12;69;8;21;239;2;18;56;19;269
05/05/2014;6;16;66;9;28;173;1;18;57;25;265
06/05/2014;5;17;69;9;34;167;1;19;59;25;268
07/05/2014;5;20;68;8;40;189;1;20;59;28;201
08/05/2014;5;16;77;8;33;93;1;20;75;23;237
09/05/2014;6;19;71;8;34;125;1;21;65;27;255
10/05/2014;5;15;73;9;30;222;1;22;41;21;259
11/05/2014;5;14;70;9;39;208;1;25;47;20;242
12/05/2014;5;17;65;9;42;125;1;22;78;25;259
13/05/2014;4;12;67;8;33;68;1;20;85;19;199
14/05/2014;5;14;72;9;29;75;1;18;82;21;103
15/05/2014;6;16;63;10;27;157;1;17;75;24;210
16/05/2014;5;13;80;10;25;134;1;17;73;20;229
17/05/2014;4;15;88;11;23;155;1;17;65;21;196
18/05/2014;4;10;99;11;24;199;1;18;63;16;250
19/05/2014;5;14;83;11;43;216;2;18;75;21;267
20/05/2014;5;14;72;11;37;178;1;20;73;22;224
21/05/2014;6;16;66;11;40;250;1;20;63;24;226
22/05/2014;4;12;76;11;21;245;1;20;37;19;251
23/05/2014;5;15;76;12;26;239;2;19;41;22;278
24/05/2014;5;13;63;12;26;225;1;16;66;20;68
25/05/2014;4;12;73;11;16;202;2;18;76;18;280
26/05/2014;4;12;72;12;23;233;1;20;61;19;285
27/05/2014;5;15;67;13;33;223;1;18;59;23;253
28/05/2014;5;12;60;13;19;271;1;20;58;19;151
29/05/2014;5;11;74;13;21;239;2;22;45;18;264
30/05/2014;5;15;61;13;28;207;1;22;52;22;270
31/05/2014;5;14;59;12;20;161;1;18;86;20;128
01/06/2014;4;14;56;14;6;211;1;17;89;21;83
02/06/2014;5;15;75;14;16;210;1;20;66;23;266
03/06/2014;5;16;73;13;27;214;1;21;69;24;285
04/06/2014;5;19;75;12;25;229;1;25;41;26;286
05/06/2014;5;14;72;10;32;192;2;23;65;21;230
06/06/2014;5;17;70;11;42;157;1;25;63;24;267
07/06/2014;4;16;72;11;44;193;1;25;53;22;271
08/06/2014;4;12;68;12;37;144;1;25;58;18;257
09/06/2014;5;14;56;11;31;141;1;25;71;21;274
10/06/2014;5;16;56;11;42;124;1;23;85;24;166
11/06/2014;5;15;73;12;34;149;1;24;60;22;268
12/06/2014;5;16;79;12;29;162;1;26;44;23;277
13/06/2014;5;16;74;12;35;233;2;26;39;23;266
14/06/2014;5;15;73;12;33;216;1;27;36;22;275
15/06/2014;5;13;73;11;37;96;1;25;59;20;258
16/06/2014;5;12;71;11;26;161;1;22;81;20;179
17/06/2014;5;14;69;12;18;188;1;21;83;20;229
18/06/2014;6;16;61;13;23;192;1;22;79;25;277
19/06/2014;5;15;72;12;23;111;1;23;74;22;225
20/06/2014;5;14;73;12;25;182;1;23;65;21;275
21/06/2014;5;12;71;13;32;207;1;25;69;19;266
22/06/2014;4;13;61;12;23;205;1;26;49;20;192
23/06/2014;5;17;63;;34;184;1;25;61;24;211
24/06/2014;5;17;60;;16;220;1;22;78;24;167
25/06/2014;5;18;63;7;13;235;1;22;63;25;162
26/06/2014;5;15;78;8;19;229;2;24;57;23;273
27/06/2014;6;19;76;8;25;232;1;25;47;28;288
28/06/2014;5;17;80;8;25;236;1;26;46;24;287
29/06/2014;5;11;65;8;18;243;1;27;40;18;260
30/06/2014;5;16;67;8;27;164;1;24;61;24;281
01/07/2014;6;19;72;9;33;229;1;25;55;28;281
02/07/2014;5;15;64;8;24;147;1;26;49;22;227
03/07/2014;5;16;63;8;35;171;1;22;68;23;274
04/07/2014;5;15;77;9;28;243;2;25;44;23;285
05/07/2014;5;14;84;9;23;228;2;26;40;21;286
06/07/2014;4;11;85;10;24;228;1;27;45;18;266
07/07/2014;5;13;58;9;24;246;2;27;47;20;263
08/07/2014;5;14;57;9;29;145;1;25;81;21;232
09/07/2014;5;13;61;10;22;125;1;25;77;21;281
10/07/2014;5;10;72;10;25;124;2;25;76;17;243
11/07/2014;5;14;59;10;30;206;2;24;76;22;271
12/07/2014;5;12;60;10;26;210;2;25;72;19;270
13/07/2014;5;9;62;11;20;179;1;25;75;16;258
14/07/2014;5;16;67;12;31;169;1;27;62;24;267
15/07/2014;6;14;61;12;27;109;1;26;75;22;263
16/07/2014;5;15;61;12;26;152;1;27;62;23;268
17/07/2014;6;18;65;12;;151;1;28;51;26;243
18/07/2014;5;19;68;12;;173;1;29;55;27;233
19/07/2014;5;14;73;12;53;185;1;29;59;21;240
20/07/2014;5;9;76;11;20;246;1;28;40;16;254
21/07/2014;5;12;66;8;28;215;1;26;42;19;270
22/07/2014;6;15;64;3;33;221;1;26;48;23;282
23/07/2014;6;18;68;3;38;219;1;27;43;26;280
24/07/2014;5;19;72;7;37;200;1;27;43;26;266
25/07/2014;5;19;71;7;33;156;1;27;53;27;253
26/07/2014;5;12;72;8;26;120;1;27;70;19;275
27/07/2014;5;12;64;8;30;180;1;27;67;19;272
28/07/2014;5;17;67;8;49;199;1;28;60;25;275
29/07/2014;5;15;71;8;40;137;1;27;75;22;219
30/07/2014;5;12;79;8;29;143;2;27;64;20;270
31/07/2014;5;16;68;8;41;216;1;26;62;24;273
01/08/2014;6;19;64;9;52;226;1;28;47;28;274
02/08/2014;5;11;81;8;35;247;2;28;41;18;271
03/08/2014;4;8;74;7;18;236;2;28;38;15;272
04/08/2014;5;16;67;8;35;203;1;26;53;24;266
05/08/2014;5;18;63;9;36;144;1;27;60;26;253
06/08/2014;6;15;60;9;34;181;1;27;71;23;266
07/08/2014;5;16;65;10;34;197;1;27;66;24;265
08/08/2014;5;17;78;10;44;192;1;28;60;24;274
09/08/2014;5;14;86;10;34;202;1;28;54;21;257
10/08/2014;5;15;80;10;36;215;1;29;49;22;269
11/08/2014;4;15;87;10;36;227;2;30;34;21;272
12/08/2014;5;12;69;;;184;2;28;73;19;252
13/08/2014;5;15;61;;41;199;1;29;62;22;263
14/08/2014;5;9;72;;32;61;1;26;78;16;261
15/08/2014;5;9;63;;24;111;1;27;84;16;265
16/08/2014;5;9;67;;22;76;1;26;85;16;211
17/08/2014;5;9;75;;16;68;1;26;78;16;271
18/08/2014;5;13;63;;23;169;1;25;79;21;194
19/08/2014;5;13;66;;48;206;1;26;78;20;260
20/08/2014;5;13;71;9;49;193;1;26;71;21;263
21/08/2014;5;15;70;9;48;198;1;25;63;23;259
22/08/2014;5;18;61;9;48;220;1;25;75;26;264
23/08/2014;5;11;71;9;33;188;1;26;65;18;217
24/08/2014;4;8;68;9;22;121;1;27;81;15;221
25/08/2014;5;13;65;9;34;225;1;27;62;20;257
26/08/2014;5;19;66;9;48;244;1;28;39;27;251
27/08/2014;5;13;77;11;42;192;1;31;36;21;250
28/08/2014;6;18;62;11;48;194;1;27;67;28;245
29/08/2014;6;14;;11;42;139;1;28;79;23;190
30/08/2014;4;11;62;11;28;164;1;26;80;18;204
31/08/2014;5;11;62;11;20;154;1;26;82;18;238
