Fecha;NO;NO2;O3;SO2;PM10;dd;vv;TMP;HR;NOX;RS
01/09/2014;6;16;53;12;40;195;1;27;71;25;240
02/09/2014;6;17;54;12;57;213;1;28;52;26;238
03/09/2014;6;17;70;12;67;180;1;29;67;26;235
04/09/2014;6;17;72;11;66;179;1;27;67;26;239
05/09/2014;5;16;73;10;57;207;1;27;70;24;230
06/09/2014;5;14;60;9;50;225;1;27;66;21;226
07/09/2014;5;12;54;10;40;221;1;27;61;19;233
08/09/2014;5;11;64;10;33;214;1;27;59;18;219
09/09/2014;5;15;57;9;43;187;1;26;75;22;214
10/09/2014;5;15;55;9;49;219;1;25;83;24;228
11/09/2014;5;15;60;11;45;241;1;27;54;23;232
12/09/2014;5;13;70;11;46;253;1;27;48;20;230
13/09/2014;7;22;60;11;46;213;1;27;51;32;225
14/09/2014;6;19;55;10;50;228;1;26;50;27;230
15/09/2014;5;15;58;11;37;239;1;25;44;23;197
16/09/2014;7;22;36;10;48;191;0;22;68;32;80
17/09/2014;5;16;46;10;41;228;1;24;62;24;204
18/09/2014;5;16;51;8;28;230;1;25;55;23;216
19/09/2014;5;14;56;8;44;225;1;24;54;22;190
20/09/2014;5;16;60;8;39;222;1;25;55;24;141
21/09/2014;5;14;59;8;34;209;1;25;60;21;153
22/09/2014;5;19;43;9;38;223;1;23;81;27;144
23/09/2014;6;21;50;9;24;243;1;21;77;30;155
24/09/2014;6;16;58;9;24;221;1;22;71;25;205
25/09/2014;4;10;57;9;25;170;0;21;92;16;136
26/09/2014;;;55;9;27;178;1;21;92;;202
27/09/2014;;;73;9;24;93;1;20;98;;37
28/09/2014;;;65;9;22;232;1;21;92;;118
29/09/2014;;;43;9;19;204;0;22;95;;89
30/09/2014;6;15;46;10;17;193;0;21;91;24;189
01/10/2014;5;14;58;9;18;127;1;22;95;22;154
02/10/2014;4;15;54;10;19;167;1;22;92;21;97
03/10/2014;6;14;59;10;19;227;1;22;87;23;196
04/10/2014;5;12;59;10;21;226;1;21;91;19;183
05/10/2014;4;12;53;10;24;170;1;22;88;18;156
06/10/2014;5;17;52;10;32;237;1;22;85;24;180
07/10/2014;6;18;64;11;29;242;1;22;69;26;184
08/10/2014;5;19;56;11;30;245;1;22;71;26;195
09/10/2014;5;20;51;10;36;235;1;22;64;29;185
10/10/2014;7;18;38;9;25;246;1;22;64;29;152
11/10/2014;5;16;37;9;16;227;0;20;80;23;56
12/10/2014;4;13;49;9;11;229;1;19;84;20;129
13/10/2014;7;20;48;10;21;206;1;17;74;30;136
14/10/2014;5;15;48;11;11;280;0;17;76;23;152
15/10/2014;5;19;54;13;15;230;1;18;70;26;166
16/10/2014;7;19;32;13;17;242;1;20;82;28;178
17/10/2014;7;18;36;14;22;225;1;22;79;28;172
18/10/2014;5;16;46;14;22;203;0;22;75;24;157
19/10/2014;5;13;50;14;42;193;0;21;81;20;170
20/10/2014;6;21;41;13;54;215;0;21;78;30;155
21/10/2014;6;19;39;14;65;207;1;24;47;28;158
22/10/2014;8;18;47;14;59;213;1;23;50;30;173
23/10/2014;6;20;38;13;32;244;1;18;70;30;167
24/10/2014;5;19;49;13;29;200;1;20;48;27;163
25/10/2014;5;17;51;13;28;209;0;20;49;24;158
26/10/2014;4;13;44;13;29;210;0;20;55;20;131
27/10/2014;6;17;42;13;35;177;0;19;75;26;148
28/10/2014;5;14;52;13;28;218;1;19;90;21;129
29/10/2014;5;13;43;13;28;214;1;19;89;21;147
30/10/2014;6;15;42;13;26;191;0;18;86;24;148
31/10/2014;6;18;44;14;26;213;0;18;88;27;129
01/11/2014;5;11;42;14;20;245;1;17;89;18;137
02/11/2014;5;12;46;14;16;222;1;16;90;18;119
03/11/2014;5;14;44;14;27;246;1;17;80;22;138
04/11/2014;5;11;63;14;11;252;1;15;71;18;45
05/11/2014;5;14;56;16;8;269;1;13;64;21;138
06/11/2014;5;17;47;15;12;253;0;14;62;25;141
07/11/2014;6;17;36;15;13;242;1;16;76;26;132
08/11/2014;5;12;42;14;5;271;1;16;80;20;70
09/11/2014;4;13;47;15;6;258;0;13;77;20;82
10/11/2014;5;15;53;17;9;270;1;12;72;23;140
11/11/2014;7;23;25;16;14;233;1;11;99;34;89
12/11/2014;7;24;41;15;15;244;0;16;77;35;100
13/11/2014;7;20;26;15;14;251;1;16;87;30;78
14/11/2014;7;16;33;17;13;243;1;17;82;26;86
15/11/2014;4;10;64;18;8;287;1;16;60;16;136
16/11/2014;4;13;47;18;10;251;0;14;73;20;130
17/11/2014;6;16;38;20;16;238;1;12;79;25;135
18/11/2014;6;19;40;20;22;256;1;12;86;28;132
19/11/2014;7;20;32;13;27;200;1;13;86;30;125
20/11/2014;7;21;36;5;29;211;0;13;95;32;79
21/11/2014;6;23;28;4;33;253;0;14;97;32;49
22/11/2014;6;19;24;3;36;220;0;15;98;28;52
23/11/2014;5;17;27;4;75;187;0;16;87;25;71
24/11/2014;5;16;35;4;59;225;0;16;93;24;95
25/11/2014;6;17;39;4;86;230;1;16;92;25;96
26/11/2014;8;20;30;3;21;235;0;15;93;32;89
27/11/2014;5;19;36;4;20;210;0;13;100;26;52
28/11/2014;6;26;41;4;19;122;1;14;100;36;29
29/11/2014;5;15;48;4;10;242;1;14;97;22;85
30/11/2014;5;12;44;4;6;303;1;13;89;19;54
01/12/2014;5;15;45;4;19;285;1;16;75;22;98
02/12/2014;5;17;50;5;12;233;1;14;65;24;118
03/12/2014;7;20;38;5;17;201;0;12;83;31;111
04/12/2014;6;20;36;6;13;273;0;12;83;29;86
05/12/2014;7;19;40;6;12;276;1;11;76;30;119
06/12/2014;5;15;49;6;8;284;1;9;69;22;117
07/12/2014;4;10;66;5;6;296;1;10;57;17;118
08/12/2014;5;13;58;5;10;263;1;10;63;20;118
09/12/2014;5;11;65;5;18;305;1;12;53;19;88
10/12/2014;6;21;51;8;15;270;1;10;56;30;116
11/12/2014;6;18;48;7;17;255;1;12;61;28;114
12/12/2014;7;23;33;7;18;258;1;9;85;33;118
13/12/2014;7;22;34;7;38;216;0;10;89;32;102
14/12/2014;5;16;33;6;36;257;0;10;100;23;23
15/12/2014;7;20;43;7;10;266;0;10;96;30;39
16/12/2014;15;23;38;9;17;254;1;12;80;46;84
17/12/2014;9;21;47;8;13;242;1;13;72;34;114
18/12/2014;11;23;33;8;18;254;0;13;81;39;108
19/12/2014;11;26;24;9;21;248;0;12;84;43;112
20/12/2014;5;18;34;8;15;223;0;12;89;26;113
21/12/2014;5;15;32;8;16;241;0;11;92;23;108
22/12/2014;7;19;28;8;16;230;0;10;94;30;71
23/12/2014;8;22;30;8;18;260;0;8;97;34;73
24/12/2014;7;20;30;9;13;258;1;9;86;30;102
25/12/2014;5;16;37;9;12;256;0;8;90;23;103
26/12/2014;6;17;41;9;12;265;1;10;86;25;114
27/12/2014;5;16;40;9;8;279;1;11;74;24;107
28/12/2014;5;9;62;7;16;281;1;13;62;16;113
29/12/2014;5;14;60;10;9;253;2;7;48;21;
30/12/2014;6;21;46;8;13;250;1;5;44;30;
31/12/2014;6;16;51;8;14;254;1;8;44;24;
