Fecha;PM25;SO2;CO;NO;NO2;PM10;NOX;O3;vv
04/06/2015;10;3;0.1;8;40;11;51;56;1.2
05/06/2015;10;3;0.1;6;26;11;34;66;1.5
06/06/2015;10;3;0.1;4;29;11;34;62;1.3
07/06/2015;9;3;0.1;3;32;11;36;56;1.2
08/06/2015;10;4;0.1;4;34;11;38;72;1.2
09/06/2015;13;4;0.2;13;36;15;55;71;1.8
10/06/2015;14;3;0.2;2;14;15;16;85;2.2
11/06/2015;17;3;0.2;2;17;19;19;67;1.5
12/06/2015;15;3;0.2;4;27;17;33;64;1.7
13/06/2015;13;3;0.2;3;22;15;25;62;2.3
14/06/2015;8;3;0.1;2;21;9;24;66;0.7
15/06/2015;;3;0.1;5;25;;33;61;1.4
16/06/2015;;3;0.1;4;34;;39;59;0.8
17/06/2015;;3;0.1;9;30;;43;53;1.3
18/06/2015;;3;0.1;8;34;;45;53;1.1
19/06/2015;;3;0.2;5;30;;38;67;1.9
20/06/2015;;3;0.2;2;19;;21;59;2
21/06/2015;;3;0.2;3;20;;23;63;2
22/06/2015;;3;0.1;3;24;;27;62;1.3
23/06/2015;;3;0.2;7;45;;55;60;1.2
24/06/2015;;4;0.2;3;18;;22;70;2
25/06/2015;;3;0.1;3;25;;30;65;1.6
26/06/2015;;3;0.1;5;33;;41;62;1.5
27/06/2015;;4;0.2;3;24;;28;62;2
28/06/2015;;3;0.2;2;23;;25;56;2
29/06/2015;;3;0.1;3;14;;18;63;1.8
30/06/2015;;3;0.2;8;31;;42;61;1.4
01/07/2015;;3;0.2;5;20;;27;47;1.7
02/07/2015;;3;0.2;3;21;;24;56;2.2
03/07/2015;;3;0.2;2;15;;17;59;2.6
04/07/2015;;3;0.2;2;17;;19;71;1.3
05/07/2015;;3;0.1;3;21;;24;68;1.3
06/07/2015;;3;0.2;3;25;;29;63;1.2
07/07/2015;;3;0.2;9;35;;48;53;1.6
08/07/2015;;3;0.2;2;19;;21;53;2.1
09/07/2015;;3;0.2;2;12;;15;53;2.7
10/07/2015;;3;0.2;4;21;;27;48;2.2
11/07/2015;;3;0.2;2;16;;18;50;2
12/07/2015;;3;0.2;3;17;;21;53;1.7
13/07/2015;;3;0.2;3;17;;22;46;1.7
14/07/2015;;3;0.2;3;15;;18;46;1.8
15/07/2015;;3;0.2;2;18;;21;56;1.8
16/07/2015;;3;0.2;2;22;;24;63;1.7
17/07/2015;;3;0.2;5;26;;32;54;1.7
18/07/2015;14;3;0.2;2;14;15;17;51;1.5
19/07/2015;15;3;0.2;2;18;17;20;41;1.6
20/07/2015;18;3;0.2;3;13;20;17;43;1.8
21/07/2015;19;3;0.3;3;15;21;19;43;1.9
22/07/2015;8;3;0.3;3;26;9;29;48;2.5
23/07/2015;7;3;0.2;4;20;8;25;43;1.4
24/07/2015;17;3;0.2;4;26;19;31;45;1.9
25/07/2015;9;3;0.2;2;13;10;16;48;3.3
26/07/2015;10;3;0.2;2;12;12;14;42;2
27/07/2015;;3;0.2;3;9;;13;44;2.1
28/07/2015;;3;0.3;2;9;;11;;2.4
29/07/2015;;3;0.3;3;10;;13;;1.9
30/07/2015;;3;0.2;4;14;;19;50;2.4
31/07/2015;;3;0.2;3;15;;18;55;2.8
01/08/2015;;3;0.1;3;11;;15;80;2.2
02/08/2015;;3;0.2;2;14;;16;78;1.7
03/08/2015;;3;0.2;3;17;;21;68;1.6
04/08/2015;;3;0.3;3;16;;19;71;1.8
05/08/2015;;3;0.2;3;11;;14;67;1.6
06/08/2015;;3;0.3;4;15;;19;61;1.8
07/08/2015;;3;0.3;4;17;;22;55;1.8
08/08/2015;;3;0.2;3;18;;21;48;1.3
10/08/2015;;3;0.2;4;17;;21;59;1.8
11/08/2015;;3;0.2;3;17;;20;58;1.5
12/08/2015;;3;0.3;3;11;;15;58;1.9
13/08/2015;;3;0.2;3;26;;29;52;1.1
14/08/2015;;3;0.1;3;20;;24;63;1.9
15/08/2015;;3;0.1;2;13;;15;63;2.2
16/08/2015;;3;0.2;3;16;;19;59;1.7
17/08/2015;;3;0.2;5;23;;29;59;2.2
18/08/2015;;3;0.2;2;16;;18;64;3.7
19/08/2015;;3;0.2;3;19;;23;62;2.1
20/08/2015;;3;0.2;3;20;;24;61;2
21/08/2015;;3;0.2;3;19;;23;67;1.8
22/08/2015;;3;0.2;2;14;;17;71;1.7
23/08/2015;;3;0.1;3;15;;18;52;1.1
24/08/2015;;3;0.2;4;21;;25;59;1.4
25/08/2015;;3;0.2;3;18;;21;66;2.1
26/08/2015;;3;0.2;3;15;;19;64;1.7
27/08/2015;;3;0.2;5;18;;24;57;2.2
28/08/2015;;3;0.2;5;19;;25;60;1.6
29/08/2015;;3;0.2;3;13;;16;60;1.6
30/08/2015;;3;0.2;4;12;;17;56;1.6
31/08/2015;;4;0.2;3;18;;21;45;1.4
