Fecha;vv;dd;PM25;SO2;CO;NO;NO2;PM10;NOX
10/04/2015;0.8;349;6;6;0.1;9;25;17;39
11/04/2015;0.9;40;9;5;0.1;10;20;19;35
12/04/2015;1;42;7;4;0.1;7;15;19;26
13/04/2015;0.8;344;7;9;0.1;21;30;30;62
14/04/2015;0.5;358;10;11;0.1;50;40;34;117
15/04/2015;0.5;309;12;8;0.1;16;37;38;60
16/04/2015;0.7;252;16;4;0.1;14;26;27;48
17/04/2015;1;282;7;10;0.1;18;30;16;57
18/04/2015;0.7;58;10;7;0.1;20;21;18;52
19/04/2015;1.1;272;3;3;0.1;5;14;6;22
20/04/2015;0.8;210;5;5;0.1;14;20;14;42
21/04/2015;0.7;51;8;8;0.1;21;23;16;56
22/04/2015;0.9;358;7;4;0.1;7;22;17;32
23/04/2015;0.6;301;14;11;0.1;24;31;26;67
24/04/2015;0.7;65;13;10;0.1;20;26;27;57
25/04/2015;0.5;14;20;4;0.1;6;17;31;26
26/04/2015;0.8;259;10;4;0.1;10;17;19;31
27/04/2015;1.8;277;1;3;0.1;3;8;6;13
28/04/2015;0.9;209;3;4;0.1;9;17;10;30
29/04/2015;0.9;310;8;6;0.1;24;28;22;65
30/04/2015;0.8;94;12;5;0.1;12;16;17;34
01/05/2015;0.6;248;12;4;0.1;6;19;25;29
02/05/2015;0.7;49;6;5;0.1;15;19;14;41
03/05/2015;0.5;72;12;4;0.1;5;13;19;20
04/05/2015;0.8;71;10;3;0.1;5;15;18;23
05/05/2015;0.5;330;13;4;0.1;16;26;31;49
06/05/2015;1;51;6;5;0.1;20;27;23;58
07/05/2015;0.9;73;7;6;0.1;17;23;20;47
08/05/2015;0.9;46;8;4;0.1;10;20;30;35
09/05/2015;0.8;167;6;4;0.1;9;17;21;29
10/05/2015;0.8;191;6;3;0.1;6;16;13;24
11/05/2015;0.8;213;5;6;0.1;17;22;22;47
12/05/2015;0.6;152;6;6;0.1;24;23;21;60
13/05/2015;0.5;83;9;6;0.1;18;25;23;53
14/05/2015;0.6;103;15;5;0.1;9;26;46;39
15/05/2015;2;316;3;3;0.1;4;5;31;11
16/05/2015;1.3;243;2;3;0.1;6;13;9;23
17/05/2015;0.8;202;3;5;0.1;16;18;12;41
18/05/2015;0.7;117;3;6;;13;16;12;36
19/05/2015;1;31;4;3;;5;12;8;20
20/05/2015;0.9;224;2;3;;8;12;5;23
21/05/2015;1.1;270;2;4;;10;16;7;30
22/05/2015;1.2;231;3;4;;10;18;11;33
23/05/2015;1;228;5;4;;5;14;15;22
24/05/2015;0.7;220;5;6;;16;20;14;44
25/05/2015;0.7;213;5;5;0.1;12;21;15;39
26/05/2015;1;140;3;5;0.1;14;16;11;38
27/05/2015;0.8;203;5;6;0.1;15;16;14;39
28/05/2015;0.8;209;8;6;0.1;25;18;23;56
29/05/2015;0.8;122;6;7;0.1;18;20;15;47
30/05/2015;0.9;131;8;4;0.1;6;14;13;24
31/05/2015;0.7;119;6;4;0.1;6;11;9;20
01/06/2015;0.8;137;6;6;0.1;26;17;13;56
02/06/2015;0.7;107;7;4;0.1;7;9;12;19
03/06/2015;0.7;187;7;7;0.1;38;24;24;81
04/06/2015;0.9;90;5;8;0.1;22;25;18;58
05/06/2015;0.9;180;6;8;0.1;14;23;19;44
06/06/2015;0.8;204;6;6;0.1;9;20;17;33
07/06/2015;0.9;164;4;6;0.1;14;21;14;41
08/06/2015;0.8;119;4;5;0.1;7;17;14;28
09/06/2015;1;64;7;5;0.1;8;17;18;28
10/06/2015;1.3;42;7;3;0.1;6;11;10;20
11/06/2015;1.1;20;9;3;0.1;11;14;16;31
12/06/2015;0.9;28;9;5;0.1;17;20;18;45
13/06/2015;0.9;11;7;3;0.1;7;12;11;22
14/06/2015;1.3;247;5;4;0.1;14;14;11;35
15/06/2015;1.2;328;4;4;0.1;12;21;10;40
16/06/2015;0.6;241;4;3;0.1;7;12;7;23
17/06/2015;0.8;201;4;4;0.1;10;15;10;30
18/06/2015;0.7;193;6;5;0.1;18;16;14;42
19/06/2015;1;113;6;6;0.1;20;21;14;51
20/06/2015;0.9;175;4;5;0.1;12;16;9;32
21/06/2015;0.7;177;6;4;0.1;6;12;11;20
22/06/2015;0.8;225;5;5;0.1;23;20;12;54
23/06/2015;1;274;4;4;0.1;9;18;10;31
24/06/2015;1;86;5;5;0.1;14;18;13;39
25/06/2015;0.7;203;5;4;;14;14;12;35
26/06/2015;0.6;110;6;4;;18;19;16;46
27/06/2015;0.7;64;5;3;;5;10;11;18
28/06/2015;0.7;70;5;4;;6;15;10;23
29/06/2015;0.8;67;6;3;;14;17;10;38
30/06/2015;0.6;84;5;5;;26;22;13;61
01/07/2015;0.8;34;7;6;;27;27;17;68
02/07/2015;0.8;23;6;4;;12;22;22;40
03/07/2015;0.8;49;6;3;0.1;12;14;12;32
04/07/2015;0.8;16;6;5;0.1;20;25;15;55
05/07/2015;0.7;141;8;5;0.1;11;20;15;36
06/07/2015;0.6;126;11;4;0.1;25;22;19;59
07/07/2015;0.6;71;9;5;0.1;19;20;23;48
08/07/2015;1;59;8;3;0.1;6;9;17;17
09/07/2015;0.7;73;6;3;0.1;5;7;13;14
10/07/2015;0.8;108;7;3;0.1;5;8;15;15
11/07/2015;1;76;6;3;0.1;5;4;11;10
12/07/2015;0.7;183;5;3;0.1;6;9;12;17
13/07/2015;0.7;122;9;3;0.1;16;13;17;37
14/07/2015;0.7;135;9;3;0.1;15;12;15;33
15/07/2015;0.8;90;7;3;0.1;10;14;13;28
16/07/2015;0.7;205;7;5;0.1;18;20;14;46
17/07/2015;0.7;173;7;4;0.1;13;17;13;35
18/07/2015;0.9;299;10;4;0.1;15;19;15;41
19/07/2015;0.7;66;9;3;0.1;11;10;13;26
20/07/2015;1;90;12;4;0.1;35;16;17;68
21/07/2015;0.7;104;11;3;0.1;6;6;14;13
22/07/2015;1.1;8;5;3;0.1;8;11;11;23
23/07/2015;1;192;5;4;0.1;10;15;12;29
24/07/2015;0.8;72;9;3;0.1;10;9;14;23
25/07/2015;1.3;58;4;3;0.1;6;5;11;13
26/07/2015;1;145;7;3;0.1;7;8;15;17
27/07/2015;1.1;63;8;3;0.1;10;8;13;22
28/07/2015;0.8;75;7;3;0.1;8;10;11;22
29/07/2015;0.9;109;9;3;0.1;6;7;12;15
30/07/2015;1;51;4;3;;6;7;6;15
31/07/2015;1.1;348;4;3;;8;14;8;25
01/08/2015;1;12;4;3;0.1;9;14;7;28
02/08/2015;0.9;198;5;4;0.1;14;13;10;33
03/08/2015;0.6;191;6;3;0.1;11;12;13;27
04/08/2015;0.8;82;5;4;0.1;22;15;20;47
05/08/2015;0.8;144;5;3;0.1;14;12;9;32
06/08/2015;0.8;114;6;3;0.1;9;10;10;22
07/08/2015;0.7;151;10;3;0.1;7;9;18;19
08/08/2015;0.6;12;7;3;0.1;8;10;16;21
09/08/2015;0.6;240;4;3;0.1;7;8;11;17
10/08/2015;1;348;6;3;0.1;18;18;21;46
11/08/2015;0.7;146;7;4;0.1;29;23;17;65
12/08/2015;0.7;140;8;3;0.1;6;5;13;12
13/08/2015;0.7;326;7;3;;17;20;17;46
14/08/2015;1;32;2;3;;7;8;7;18
15/08/2015;0.5;337;3;3;;7;9;5;19
16/08/2015;1;273;3;4;;16;9;6;32
17/08/2015;1.1;11;3;3;;10;13;8;28
18/08/2015;1.1;18;2;3;;7;9;5;20
19/08/2015;0.8;31;3;3;;9;10;5;22
20/08/2015;0.7;192;5;4;;21;12;9;43
21/08/2015;0.6;202;5;3;;12;8;8;26
22/08/2015;0.9;3;3;3;;12;11;6;28
23/08/2015;1;262;3;3;;11;7;9;22
24/08/2015;1.5;311;2;3;;11;8;8;23
25/08/2015;1.2;18;3;5;;20;20;12;50
26/08/2015;1;209;4;4;0.1;17;13;9;38
27/08/2015;0.9;162;4;4;0.1;25;15;10;52
28/08/2015;0.9;41;5;6;0.1;37;18;19;75
29/08/2015;0.8;22;5;5;0.1;30;15;12;60
30/08/2015;0.9;45;6;4;0.1;13;11;10;29
31/08/2015;0.9;209;8;3;0.1;8;9;15;20
