Fecha;vv;dd;PM25;SO2;CO;NO;NO2;PM10;NOX
01/01/2015;0.8;280;7;;0.2;;;11
02/01/2015;0.7;293;8;;0.2;;;15
03/01/2015;0.8;283;8;;0.2;;;13
04/01/2015;0.9;286;7;;0.2;;;10
05/01/2015;0.5;275;14;4;0.3;;;20
06/01/2015;0.4;301;17;3;0.2;;;19
07/01/2015;0.7;317;14;5;0.2;36;64;26;118
08/01/2015;0.6;281;22;8;0.2;38;65;41;122
09/01/2015;0.5;277;19;10;0.2;38;69;42;126
10/01/2015;0.5;292;13;8;0.3;33;69;32;120
11/01/2015;0.6;297;8;8;0.2;28;43;21;85
12/01/2015;0.8;268;10;8;0.2;;;24
13/01/2015;0.3;286;16;12;0.2;;;37
14/01/2015;0.5;336;11;16;0.2;;;41
15/01/2015;0.7;254;13;12;0.2;;;40
16/01/2015;1.3;251;5;3;0.1;;;15
17/01/2015;0.9;292;7;6;0.1;36;42;16;96
18/01/2015;1;263;7;4;0.1;24;34;12;70
19/01/2015;1.2;350;3;3;0.1;11;23;4;40
20/01/2015;0.7;277;6;5;0.2;21;34;14;66
21/01/2015;0.7;280;7;7;0.2;33;44;22;94
22/01/2015;0.5;283;6;6;0.2;29;45;14;89
23/01/2015;1;267;4;3;0.1;13;32;10;52
24/01/2015;1.4;276;4;3;0.1;9;21;9;35
25/01/2015;1.4;309;3;3;0.1;9;23;10;38
26/01/2015;0.7;269;9;12;0.2;55;53;37;137
27/01/2015;0.7;268;8;10;0.1;30;39;25;84
28/01/2015;0.7;277;6;8;0.1;28;36;20;79
29/01/2015;1.8;264;4;5;0.1;10;22;23;36
30/01/2015;1.5;297;3;3;0.1;7;18;19;29
31/01/2015;2.1;296;2;3;0.1;5;18;3;25
01/02/2015;1.9;276;2;3;0.1;2;12;3;14
02/02/2015;1;243;3;3;0.1;2;13;6;15
03/02/2015;1.6;259;2;3;0.1;3;15;8;18
04/02/2015;1.6;334;3;3;0.1;3;12;5;14
05/02/2015;2.1;282;4;3;0.1;2;10;10;12
06/02/2015;1.1;285;4;3;0.1;5;23;8;29
07/02/2015;0.6;322;9;5;0.1;18;24;15;50
08/02/2015;1;279;9;4;0.1;12;22;14;38
09/02/2015;1.1;323;11;8;0.1;29;41;29;84
10/02/2015;1;276;15;8;0.2;20;40;31;70
11/02/2015;0.6;323;13;11;0.2;42;51;34;115
12/02/2015;0.3;285;16;6;0.2;28;40;26;82
13/02/2015;0.6;258;11;5;0.2;20;33;23;64
14/02/2015;0.8;276;6;3;0.1;3;23;12;27
15/02/2015;0.6;275;4;3;0.1;5;24;9;31
16/02/2015;0.8;287;4;4;0.1;12;31;14;49
17/02/2015;1.4;26;2;3;0.1;4;14;4;18
18/02/2015;1.1;359;5;3;0.1;4;22;12;28
19/02/2015;1.2;315;14;8;0.1;25;45;31;83
20/02/2015;0.9;252;15;8;0.1;11;39;32;55
21/02/2015;1.7;267;11;6;0.1;10;24;18;39
22/02/2015;2.1;278;2;3;0.1;2;7;5;8
23/02/2015;1.1;279;4;5;0.1;9;26;17;38
24/02/2015;2.5;287;2;3;0.1;2;19;9;22
25/02/2015;1.8;277;2;3;0.1;2;14;8;16
26/02/2015;2;259;3;3;0.1;4;15;10;20
27/02/2015;2.5;281;3;4;0.1;2;16;10;18
28/02/2015;0.6;237;5;4;0.1;8;22;14;32
01/03/2015;0.5;245;7;7;0.1;14;35;25;55
02/03/2015;0.5;303;5;5;0.1;11;27;16;43
03/03/2015;0.6;51;5;3;0.1;3;21;10;25
04/03/2015;1.5;269;9;7;0.2;23;24;17;59
05/03/2015;1.3;262;4;5;0.1;9;24;17;36
06/03/2015;1;235;7;9;0.1;26;36;36;75
07/03/2015;0.7;288;8;6;0.1;4;25;19;29
08/03/2015;0.6;195;9;7;0.1;12;23;20;40
09/03/2015;0.4;233;18;7;0.2;21;31;32;61
10/03/2015;0.4;271;19;9;0.2;20;38;35;67
11/03/2015;0.4;223;24;8;0.1;10;33;41;48
12/03/2015;0.8;18;16;12;0.1;8;33;35;45
13/03/2015;0.6;225;26;8;0.1;12;30;40;47
14/03/2015;0.8;255;4;3;0.1;6;20;11;27
15/03/2015;0.7;252;9;3;0.1;4;14;14;19
16/03/2015;0.8;237;12;6;0.1;16;26;23;48
17/03/2015;0.9;324;14;8;0.1;12;27;25;43
18/03/2015;1.6;41;5;4;0.1;4;14;9;19
19/03/2015;2.9;45;9;3;0.1;2;4;11;6
20/03/2015;3.1;45;8;3;0.1;2;6;9;7
21/03/2015;0.9;48;5;3;0.1;4;14;7;18
22/03/2015;0.6;337;3;3;0.1;2;17;4;20
23/03/2015;1;80;6;3;0.1;2;13;8;15
24/03/2015;1.2;51;6;4;0.1;2;9;9;11
25/03/2015;3.2;332;1;5;0.1;2;9;3;11
26/03/2015;1.4;282;3;5;0.1;3;15;7;18
27/03/2015;0.8;260;4;7;0.1;9;28;16;41
28/03/2015;0.7;253;5;8;0.1;13;23;15;42
29/03/2015;0.6;233;5;7;0.1;8;20;15;31
30/03/2015;0.3;294;9;10;0.1;21;46;40;78
31/03/2015;0.5;248;5;8;0.1;11;31;20;48
01/04/2015;1.1;158;5;7;0.1;5;15;15;22
02/04/2015;0.7;226;7;6;0.1;11;22;20;38
03/04/2015;0.8;86;12;8;0.1;14;19;19;40
04/04/2015;0.7;126;8;3;0.1;3;9;12;13
05/04/2015;1;81;4;5;0.1;8;14;7;25
06/04/2015;0.9;87;4;3;0.1;2;5;9;7
07/04/2015;1.1;32;6;4;0.1;14;20;25;41
08/04/2015;0.9;47;7;6;0.1;18;30;20;56
09/04/2015;0.9;25;6;8;0.1;31;27;21;73
