Fecha;BEN;NO;NO2;NOX;O3;PM10;SH2;SO2;TOL;dd;HR;PRB;RS;TMP;vv
02/09/2015;1.01;4;27;15;78;14;2;8;1.29;210;77;1014.7;86.1;17.6;0.5
01/09/2015;0.3;3;35;14;74;15;1;6;0.49;281;79;1017.2;76.7;18.4;0.5
31/08/2015;0.9;3;23;15;78;25;2;7;0.87;327;82;1010.4;100.9;22.2;1.5
30/08/2015;2.17;4;37;18;82;30;2;10;1.29;284;73;1009;204.3;24.6;0.1
29/08/2015;0.7;5;26;19;67;22;2;12;0.69;332;87;1011.5;212;21.1;1.4
28/08/2015;0.99;4;27;15;57;12;1;7;0.97;324;84;1012.7;190.5;21.4;1.1
27/08/2015;1.32;4;23;15;62;13;3;8;2.2;178;56;1007.2;149.2;26.2;2.1
26/08/2015;0.99;4;39;19;70;15;2;8;1.35;305;62;1008.5;216.3;22.8;0.5
25/08/2015;1.05;4;24;16;69;11;2;7;1.71;172;60;1013.7;261.5;21.3;0.9
24/08/2015;0.29;3;12;11;69;15;2;6;0.41;316;62;1010;185.6;19.4;1.9
23/08/2015;0.38;3;11;10;68;11;2;8;0.72;201;60;1003;241.2;21.9;1.7
22/08/2015;1.01;3;26;16;71;29;2;6;1.1;310;86;1008.5;79.3;20.5;0.2
21/08/2015;1.27;4;80;20;96;28;1;7;1.39;286;79;1014.7;243.9;20.8;1.4
20/08/2015;0.8;5;38;21;98;18;2;10;1.82;276;75;1017.4;273.7;19.3;1.2
19/08/2015;;;14;;58;12;;;;234;;1016.8;268.3;19.8;0.3
18/08/2015;0.29;3;34;14;87;16;1;5;1.13;301;;1014;194;19.7;0.4
17/08/2015;0.1;3;21;12;81;15;1;5;0.71;320;;1012.5;261.7;19.5;0.7
16/08/2015;0.97;5;24;19;61;21;2;9;4.88;115;;1011.3;118.5;18.5;0.2
15/08/2015;0.1;3;14;9;61;14;1;4;0.5;294;;1013.8;215.4;19;0.4
14/08/2015;0.06;3;11;9;76;13;1;5;0.15;301;;1014.7;162.9;19.9;1.8
13/08/2015;0.35;3;12;12;77;15;1;5;1.03;296;;1012.6;210.4;21.1;1.4
12/08/2015;0.26;4;36;17;86;27;1;6;0.88;321;;1011.1;184.9;22.3;0.5
11/08/2015;0.18;3;27;16;103;28;1;6;0.72;322;;1009.7;230.4;21.9;0.7
10/08/2015;0.75;9;54;39;99;25;2;8;2.89;79;;1013;282.8;22.7;0.5
09/08/2015;0.06;3;18;9;80;14;1;5;0.3;308;;1019.7;258;20.7;0.8
08/08/2015;0.07;3;7;8;75;12;1;4;0.24;316;;1020.4;152;19.3;1.2
07/08/2015;0.11;3;13;11;68;12;1;4;0.55;310;;1016;79.5;20;1.2
06/08/2015;0.52;4;38;20;70;21;2;6;2.94;39;;1011.8;217.7;22.1;0.2
05/08/2015;0.55;6;35;19;84;21;2;6;2.05;332;;1010.5;287.4;21.7;0.9
04/08/2015;0.69;3;29;17;62;11;2;5;3.11;329;;1015;85.3;20;0.3
03/08/2015;0.3;4;45;16;99;18;1;7;1.14;277;;1012.3;203.8;21.4;1
02/08/2015;1.2;4;41;24;114;25;2;9;3.1;158;;1009.5;295.8;24.4;1.3
