Fecha;PM10;SO2;NO2;NO;CO;O3
01/01/2015;57;0;32;26;0.5;13
02/01/2015;57;2;47;100;0.9;5
03/01/2015;;0;33;34;0.5;18
04/01/2015;;0;23;11;0.4;30
05/01/2015;;0;30;39;0.5;10
06/01/2015;30;0;26;17;0.8;24
07/01/2015;53;2;38;58;1.1;10
08/01/2015;42;2;39;33;0.6;10
09/01/2015;43;3;45;55;0.7;10
10/01/2015;42;0;24;9;0.5;15
11/01/2015;31;0;22;12;0.5;42
12/01/2015;26;0;29;17;0.4;33
13/01/2015;19;0;16;4;0.4;48
14/01/2015;22;0;21;15;0.9;41
15/01/2015;18;0;16;3;0.4;61
16/01/2015;11;0;20;4;0.3;58
17/01/2015;;0;18;6;0.3;55
18/01/2015;;0;9;2;0.3;60
19/01/2015;;0;18;5;0.3;60
20/01/2015;15;1;33;19;0.4;43
21/01/2015;14;0;18;4;0.3;64
22/01/2015;22;0;20;7;0.4;55
23/01/2015;33;1;36;25;0.5;33
24/01/2015;26;1;26;7;0.4;37
25/01/2015;30;1;32;10;0.5;34
26/01/2015;28;1;32;10;0.4;34
27/01/2015;23;1;30;7;0.4;40
28/01/2015;21;1;26;6;0.4;44
29/01/2015;21;1;15;4;0.3;55
30/01/2015;20;1;11;3;0.3;71
31/01/2015;18;0;6;1;0.3;79
01/02/2015;;;;;;
02/02/2015;;;;;;
03/02/2015;16;1;32;11;0.3;51
04/02/2015;;;;;;
05/02/2015;;;;;;
06/02/2015;;;;;;
07/02/2015;;;;;;
08/02/2015;;;;;;
09/02/2015;;;;;;
10/02/2015;;;;;;
11/02/2015;;;;;;
12/02/2015;31;0;28;12;0.4;44
13/02/2015;31;1;27;15;0.3;45
14/02/2015;10;0;19;3;0.2;53
15/02/2015;11;0;17;3;0.2;53
16/02/2015;18;0;15;4;0.2;66
17/02/2015;30;0;19;4;0.2;61
18/02/2015;33;1;34;19;0.4;29
19/02/2015;;1;41;19;0.8;20
20/02/2015;26;0;32;9;1;36
21/02/2015;15;0;7;1;0.3;81
22/02/2015;15;0;13;1;0.4;65
23/02/2015;16;0;16;5;0.5;55
24/02/2015;21;0;9;1;0.3;79
25/02/2015;17;0;7;1;0.4;78
26/02/2015;12;1;10;2;0.4;68
27/02/2015;20;1;16;3;0.4;73
28/02/2015;12;1;16;3;0.4;51
01/03/2015;14;2;19;2;0.5;32
02/03/2015;10;2;28;4;0.6;41
03/03/2015;19;2;28;7;0.5;40
04/03/2015;16;1;17;3;0.5;69
05/03/2015;30;1;25;10;0.4;50
06/03/2015;35;1;29;12;0.5;50
07/03/2015;50;3;39;22;0.7;26
08/03/2015;43;3;24;8;0.6;49
09/03/2015;61;1;33;9;0.9;45
10/03/2015;50;0;30;7;0.4;45
11/03/2015;55;0;30;5;0.4;
12/03/2015;57;0;26;9;0.4;
13/03/2015;26;0;12;3;0.2;76
14/03/2015;26;0;12;2;0.2;71
15/03/2015;34;0;18;3;0.3;50
16/03/2015;50;0;29;12;0.4;40
17/03/2015;39;0;29;10;0.4;54
18/03/2015;49;1;34;19;0.5;40
19/03/2015;39;0;30;7;0.5;39
20/03/2015;56;0;31;4;0.5;55
21/03/2015;27;0;29;4;0.5;43
22/03/2015;30;0;14;1;0.4;67
23/03/2015;20;0;32;12;0.4;34
24/03/2015;20;0;25;4;0.4;58
25/03/2015;19;0;13;3;0.3;75
26/03/2015;15;0;16;3;0.3;59
27/03/2015;16;0;19;4;0.3;59
28/03/2015;24;0;12;2;0.3;57
29/03/2015;21;0;11;1;0.4;64
30/03/2015;30;0;12;2;0.3;68
31/03/2015;23;0;10;2;0.3;70
01/04/2015;37;0;22;6;0.2;64
02/04/2015;41;1;21;8;0.2;49
03/04/2015;30;1;13;5;0.2;52
04/04/2015;20;0;10;2;0.2;75
05/04/2015;19;1;10;2;0.2;65
06/04/2015;27;1;16;4;0.2;63
07/04/2015;42;2;32;21;0.3;52
08/04/2015;43;2;24;4;0.3;73
09/04/2015;39;1;25;3;0.3;78
10/04/2015;21;0;16;3;0.2;74
11/04/2015;19;0;20;3;0.3;65
12/04/2015;32;0;23;4;0.3;49
13/04/2015;53;1;36;25;0.5;54
14/04/2015;66;1;45;21;0.5;44
15/04/2015;65;0;36;10;0.6;51
16/04/2015;37;0;28;13;0.4;46
17/04/2015;;;;;;
18/04/2015;;;;;;
19/04/2015;;;;;;
20/04/2015;;;;;;
21/04/2015;;;;;;
22/04/2015;;;;;;
23/04/2015;;;;;;
24/04/2015;32;4;30;11;0.2;32
25/04/2015;24;4;20;6;0.1;52
26/04/2015;14;3;9;1;0;77
27/04/2015;15;3;14;3;0;68
28/04/2015;20;3;18;5;0;56
29/04/2015;20;3;20;4;0.1;50
30/04/2015;26;3;33;9;0.1;42
01/05/2015;17;3;13;3;0.1;43
02/05/2015;14;3;14;6;0;35
03/05/2015;13;3;7;2;0;56
04/05/2015;33;3;11;4;0.1;58
05/05/2015;23;3;17;3;0;72
06/05/2015;17;2;14;3;0.2;65
07/05/2015;35;3;24;7;0.4;61
08/05/2015;25;2;17;5;0.3;75
09/05/2015;11;1;10;2;0.3;65
10/05/2015;25;2;14;4;0.3;54
11/05/2015;26;0;12;2;0.3;72
12/05/2015;31;0;12;3;0.4;65
13/05/2015;33;0;15;2;0.4;57
14/05/2015;30;0;13;3;0.3;56
15/05/2015;22;0;8;2;0.3;70
16/05/2015;19;0;9;2;0.3;67
17/05/2015;15;0;9;2;0.3;53
18/05/2015;27;1;17;10;0.4;44
19/05/2015;23;0;13;3;0.3;67
20/05/2015;18;0;12;3;0.3;66
21/05/2015;19;0;13;2;0.3;59
22/05/2015;21;0;19;2;0.3;60
23/05/2015;16;0;13;1;0.3;56
24/05/2015;10;0;7;1;0.3;48
25/05/2015;12;0;10;2;0.3;51
26/05/2015;18;0;13;2;0.3;57
27/05/2015;18;0;16;3;0.3;54
28/05/2015;23;0;17;4;0.4;58
29/05/2015;15;0;13;2;0.3;65
30/05/2015;19;0;13;1;0.3;60
31/05/2015;17;0;10;1;0.4;42
01/06/2015;13;0;19;3;0.3;35
02/06/2015;19;0;16;3;0.3;46
