Fecha;SO2;NO;NO2;O3;CO;PM10;PM25;BEN
01/01/2015;1;4;26;42;0.2;22;15;Sense dades
02/01/2015;1;7;29;46;0.2;13;10;Sense dades
03/01/2015;1;3;17;53;0.2;13;12;0.1
04/01/2015;1;6;29;33;0.2;Sense dades;20;Sense dades
05/01/2015;2;26;51;20;0.3;24;20;0.3
06/01/2015;2;7;27;28;0.2;19;18;Sense dades
07/01/2015;2;29;58;13;0.4;32;27;0.6
08/01/2015;1;11;36;16;0.2;20;17;Sense dades
09/01/2015;1;4;19;32;0.2;Sense dades;16;Sense dades
10/01/2015;1;7;24;33;0.2;Sense dades;13;Sense dades
11/01/2015;1;7;26;25;0.2;Sense dades;15;Sense dades
12/01/2015;1;15;35;40;0.3;Sense dades;14;Sense dades
13/01/2015;1;24;49;30;0.3;26;14;Sense dades
14/01/2015;1;7;33;44;0.2;26;16;0.1
15/01/2015;2;13;39;38;0.3;24;18;Sense dades
16/01/2015;1;25;37;31;0.3;26;18;Sense dades
17/01/2015;1;5;22;44;0.2;11;10;0.1
18/01/2015;1;2;17;57;0.2;11;9;Sense dades
19/01/2015;1;8;38;29;0.2;10;9;0.2
20/01/2015;1;9;26;28;0.2;12;11;Sense dades
21/01/2015;1;6;21;33;0.2;18;17;0.1
22/01/2015;1;6;25;37;0.2;16;16;Sense dades
23/01/2015;1;4;22;43;0.2;14;10;Sense dades
24/01/2015;1;2;11;59;0.2;17;9;0.1
25/01/2015;1;3;19;68;0.2;13;8;Sense dades
26/01/2015;2;7;30;41;0.2;20;11;0.1
27/01/2015;1;15;33;34;0.3;Sense dades;Sense dades;Sense dades
28/01/2015;2;12;38;33;0.3;19;12;0.1
29/01/2015;1;4;23;42;0.2;21;14;Sense dades
30/01/2015;1;2;16;57;0.2;16;11;Sense dades
31/01/2015;1;2;13;58;0.2;8;8;0
01/02/2015;1;1;7;65;0.2;8;8;Sense dades
02/02/2015;1;4;22;49;0.2;8;Sense dades;0.1
03/02/2015;1;17;41;25;0.3;12;8;Sense dades
04/02/2015;1;4;24;47;0.2;9;8;0.1
05/02/2015;2;9;33;39;0.2;12;8;Sense dades
06/02/2015;2;4;22;48;0.2;12;Sense dades;Sense dades
07/02/2015;3;4;27;33;0.3;22;Sense dades;0.1
08/02/2015;3;2;15;50;0.2;24;Sense dades;Sense dades
09/02/2015;3;13;42;39;0.3;29;19;0.1
10/02/2015;5;28;57;36;0.4;31;21;Sense dades
11/02/2015;6;42;82;23;0.5;28;20;0.2
12/02/2015;5;27;67;27;0.4;32;22;Sense dades
13/02/2015;5;18;46;40;0.3;41;Sense dades;Sense dades
14/02/2015;5;3;22;52;0.2;17;12;0.1
15/02/2015;4;10;29;42;0.3;12;11;Sense dades
16/02/2015;3;17;49;26;0.3;22;18;0.1
17/02/2015;1;12;50;23;0.3;20;17;Sense dades
18/02/2015;1;9;37;42;0.3;21;17;0.1
19/02/2015;2;8;36;54;0.3;27;19;Sense dades
20/02/2015;2;8;40;56;0.3;34;25;Sense dades
21/02/2015;1;2;25;62;0.2;18;14;0.1
22/02/2015;1;2;14;74;0.2;Sense dades;9;Sense dades
23/02/2015;2;15;31;43;0.3;15;12;0.1
24/02/2015;2;2;13;65;0.2;8;Sense dades;Sense dades
25/02/2015;2;5;26;58;0.2;10;8;0
26/02/2015;2;29;58;24;0.4;19;12;Sense dades
27/02/2015;1;7;35;40;0.2;17;10;Sense dades
28/02/2015;1;2;23;60;0.2;14;10;0.1
01/03/2015;2;6;37;39;0.3;21;13;Sense dades
02/03/2015;2;4;22;43;0.2;14;13;0
03/03/2015;3;7;37;46;0.3;17;10;Sense dades
04/03/2015;2;7;40;35;0.2;15;10;0.1
05/03/2015;2;8;30;59;0.3;11;11;Sense dades
06/03/2015;3;8;40;45;0.3;22;14;Sense dades
07/03/2015;3;6;36;51;0.3;25;17;0.1
08/03/2015;3;5;46;50;0.3;26;19;Sense dades
09/03/2015;4;12;62;45;0.4;32;26;0.1
10/03/2015;4;18;67;37;0.4;38;30;Sense dades
11/03/2015;3;32;94;Sense dades;0.5;44;37;0.1
12/03/2015;2;6;46;Sense dades;0.3;44;34;Sense dades
13/03/2015;2;12;40;Sense dades;0.3;38;27;Sense dades
14/03/2015;1;3;25;Sense dades;0.2;12;10;0.1
15/03/2015;2;4;24;Sense dades;0.2;12;Sense dades;Sense dades
16/03/2015;1;6;31;Sense dades;0.2;15;11;0.1
17/03/2015;2;9;28;Sense dades;0.3;14;10;Sense dades
18/03/2015;1;2;18;Sense dades;0.2;14;8;0
19/03/2015;2;5;31;Sense dades;0.2;21;18;Sense dades
20/03/2015;2;2;19;79;0.2;21;18;Sense dades
21/03/2015;1;1;12;79;0.2;38;14;0
22/03/2015;1;2;14;68;0.2;16;11;Sense dades
23/03/2015;2;2;18;80;0.2;25;14;0
24/03/2015;1;3;25;69;0.2;15;10;Sense dades
25/03/2015;2;9;32;44;0.2;11;8;0.1
26/03/2015;2;7;36;47;0.3;17;14;Sense dades
27/03/2015;3;14;45;40;0.3;20;16;Sense dades
28/03/2015;3;4;28;43;0.2;Sense dades;16;Sense dades
29/03/2015;3;4;31;43;0.2;18;16;Sense dades
30/03/2015;3;7;39;49;0.3;Sense dades;21;Sense dades
31/03/2015;3;4;21;63;0.2;18;16;Sense dades
01/04/2015;3;3;22;58;0.2;22;12;0
02/04/2015;3;3;26;60;0.2;26;17;Sense dades
03/04/2015;3;2;19;68;0.2;24;12;Sense dades
04/04/2015;3;2;16;66;0.2;25;13;0
05/04/2015;3;1;11;72;0.2;14;10;Sense dades
06/04/2015;3;1;13;82;0.2;16;12;0
07/04/2015;2;3;24;50;0.2;17;13;Sense dades
08/04/2015;1;3;28;91;0.2;15;12;0
09/04/2015;1;12;45;69;0.3;18;12;Sense dades
10/04/2015;1;12;37;75;0.3;17;10;Sense dades
11/04/2015;1;2;19;86;0.2;18;11;0
12/04/2015;1;2;30;82;0.2;18;14;Sense dades
13/04/2015;2;21;67;54;0.4;25;21;0.1
14/04/2015;2;33;78;43;0.4;33;26;Sense dades
15/04/2015;1;12;39;77;0.3;28;19;0
16/04/2015;1;5;37;64;0.2;35;19;Sense dades
17/04/2015;1;4;30;64;0.2;22;15;Sense dades
18/04/2015;2;5;33;65;0.2;20;15;0
19/04/2015;1;1;14;75;0.2;13;9;Sense dades
20/04/2015;2;4;29;57;0.2;14;9;0
21/04/2015;2;8;35;59;0.3;14;13;Sense dades
22/04/2015;2;8;54;50;0.3;18;16;0
23/04/2015;2;7;37;68;0.2;20;17;Sense dades
24/04/2015;2;5;36;73;0.3;24;20;Sense dades
25/04/2015;1;1;21;77;0.2;37;20;0
26/04/2015;3;2;26;61;0.2;38;20;Sense dades
