Fecha;SO2;CO;NO;NO2;PM25;PM10;O3;TOL;BEN;EBN;RUV;vv;dd;TMP;HR;PRB;LL;Longitud;Latitud
15/01/2015;4;0.4;34;49;12;15;25;0.4;0.1;0.1;8;1.92;8;6.2;71;943;0.06;3º44'50.45'';40º25'09.68''
15/02/2015;2;0.2;6;21;7;-;52;0.4;0.1;0.1;-;-;-;-;-;-;-;;
15/03/2015;2;0.2;8;23;8;14;47;0.4;0.1;0.1;18;2.06;190;10.9;61;939;0.72;;
15/04/2015;2;0.2;3;14;7;16;68;0.2;0.1;0.1;29;2.41;159;14.7;56;938;0.87;;
15/05/2015;2;0.2;3;14;8;18;74;0.8;0.1;0.1;45;2.53;176;20.1;48;944;0.00;;
15/06/2015;2;0.2;2;16;10;23;90;1.3;0.2;0.2;48;2.16;139;24.7;43;943;1.05;;
15/07/2015;2;0.2;2;15;12;30;84;1.2;0.2;0.1;52;2.32;189;29.9;39;942;0.44;;
15/08/2015;2;0.2;2;13;9;26;76;1.1;0.2;0.1;43;2.38;170;25.8;45;942;0.53;;
15/09/2015;2;0.2;4;18;6;13;65;1.3;0.2;0.1;29;2.16;173;20.4;49;942;0.20;;
