Fecha;BEN;CO;NO;NO2;NOX;O3;PM10;SO2
22/09/15;null(null);0.1;2.0;3.9;6.3;46.0;null(null);1.0
23/09/15;null(null);0.1;2.1;7.3;10.0;38.0;null(null);1.0
24/09/15;null(null);0.1;1.8;8.0;11.0;42.0;null(null);1.0
25/09/15;null(null);0.1;2.6;14.0;17.0;35.0;null(null);1.0
26/09/15;null(null);0.1;2.3;8.3;12.0;42.0;null(null);1.0
27/09/15;null(null);0.1;2.3;10.0;13.0;44.0;null(null);1.0
28/09/15;null(null);0.1;2.5;12.0;16.0;52.0;null(null);1.0
29/09/15;null(null);0.1;3.0;17.0;21.0;50.0;null(null);1.0
30/09/15;null(null);0.1;2.3;6.9;10.0;52.0;null(null);1.0
1/05/15;null(null);0.1;2.0;3.5;6.2;49.0;null(null);1.0
2/05/15;null(null);0.1;2.0;4.0;6.8;52.0;null(null);1.0
3/05/15;null(null);0.1;1.9;5.4;8.1;62.0;null(null);1.0
4/05/15;null(null);0.1;2.1;3.8;6.5;59.0;null(null);1.0
5/05/15;null(null);0.1;2.0;6.1;8.5;81.0;null(null);1.0
6/05/15;null(null);0.1;2.8;12.0;17.0;57.0;null(null);1.0
7/05/15;null(null);0.1;4.8;17.0;24.0;44.0;null(null);1.0
8/05/15;null(null);0.1;1.9;8.5;11.0;53.0;null(null);1.0
9/05/15;null(null);0.1;2.1;3.8;6.0;49.0;null(null);1.0
10/05/15;null(null);0.1;2.2;7.5;11.0;41.0;null(null);1.0
11/05/15;null(null);0.1;5.6;16.0;24.0;49.0;null(null);1.0
12/05/15;null(null);0.1;7.6;13.0;23.0;52.0;null(null);1.0
13/05/15;null(null);0.1;1.9;4.5;7.0;54.0;null(null);1.0
14/05/15;null(null);0.1;2.0;4.6;7.3;62.0;null(null);1.0
19/05/15;null(null);0.1;2.1;7.2;10.0;60.0;null(null);1.0
20/05/15;null(null);0.1;1.9;6.6;9.3;59.0;null(null);1.0
21/05/15;null(null);0.1;2.2;5.3;8.1;55.0;null(null);1.0
22/05/15;null(null);0.1;2.3;6.6;9.9;58.0;null(null);1.0
23/05/15;null(null);0.1;1.9;1.7;3.9;47.0;null(null);1.0
24/05/15;null(null);0.1;1.9;1.7;3.8;40.0;null(null);1.0
25/05/15;null(null);0.1;2.5;5.6;9.1;42.0;null(null);1.0
26/05/15;null(null);0.1;2.8;14.0;18.0;45.0;null(null);1.0
27/05/15;null(null);0.1;2.3;8.2;11.0;51.0;null(null);1.0
28/05/15;null(null);0.1;2.4;9.5;13.0;55.0;null(null);1.0
29/05/15;null(null);0.1;2.5;12.0;16.0;53.0;null(null);1.0
30/05/15;null(null);0.1;2.2;7.4;11.0;34.0;null(null);1.0
31/05/15;null(null);0.1;2.0;8.8;12.0;29.0;null(null);1.0
1/06/15;null(null);0.1;2.2;9.0;12.0;48.0;null(null);1.0
2/06/15;null(null);0.1;3.3;12.0;16.0;41.0;null(null);1.0
3/06/15;null(null);0.1;2.8;6.6;10.0;46.0;null(null);1.0
4/06/15;null(null);0.1;4.0;11.0;16.0;61.0;null(null);1.0
5/06/15;null(null);0.1;2.4;11.0;15.0;54.0;null(null);1.0
6/06/15;null(null);0.1;2.0;8.7;11.0;59.0;null(null);1.0
7/06/15;null(null);0.1;2.8;16.0;20.0;62.0;null(null);1.0
8/06/15;null(null);0.11;2.5;11.0;15.0;59.0;null(null);1.0
9/06/15;null(null);0.1;2.3;9.6;13.0;73.0;null(null);1.0
10/06/15;null(null);0.1;1.9;9.0;12.0;96.0;null(null);1.0
11/06/15;null(null);0.1;2.2;5.0;7.9;81.0;null(null);1.0
12/06/15;null(null);0.1;1.8;6.7;9.1;78.0;null(null);1.0
13/06/15;null(null);0.1;1.8;12.0;14.0;70.0;null(null);1.0
14/06/15;null(null);0.1;2.0;6.3;8.9;60.0;null(null);1.0
15/06/15;null(null);0.1;2.4;9.2;13.0;63.0;null(null);1.0
16/06/15;null(null);0.1;2.5;9.5;13.0;56.0;null(null);1.0
17/06/15;null(null);0.1;2.0;13.0;16.0;67.0;null(null);1.0
18/06/15;null(null);0.1;2.9;11.0;15.0;66.0;null(null);1.0
19/06/15;null(null);0.1;2.0;9.4;12.0;45.0;null(null);1.0
20/06/15;null(null);0.1;2.0;10.0;13.0;60.0;null(null);1.0
21/06/15;null(null);0.1;1.8;3.4;5.8;72.0;null(null);1.0
22/06/15;null(null);0.1;2.0;11.0;13.0;63.0;null(null);1.0
23/06/15;null(null);0.11;2.0;3.5;6.0;54.0;null(null);1.0
24/06/15;null(null);0.14;2.0;6.5;9.4;52.0;null(null);1.0
25/06/15;null(null);0.1;2.5;12.0;15.0;58.0;null(null);1.0
26/06/15;null(null);0.1;2.0;6.3;8.9;54.0;null(null);1.0
27/06/15;null(null);0.1;1.8;3.9;6.3;47.0;null(null);1.0
28/06/15;null(null);0.1;1.8;4.7;6.8;51.0;null(null);1.0
29/06/15;null(null);0.1;2.0;6.7;9.5;73.0;null(null);1.0
30/06/15;null(null);0.13;1.8;4.5;6.9;61.0;null(null);1.0
1/07/15;null(null);0.1;1.9;2.6;4.8;46.0;null(null);1.0
2/07/15;null(null);0.1;2.8;6.9;11.0;48.0;null(null);1.0
3/07/15;null(null);0.1;3.3;7.4;12.0;46.0;null(null);1.0
4/07/15;null(null);0.1;2.0;5.8;8.5;50.0;null(null);1.0
5/07/15;null(null);0.1;1.8;7.1;9.8;65.0;null(null);1.0
6/07/15;null(null);0.1;2.4;6.3;9.6;66.0;null(null);1.0
7/07/15;null(null);0.1;2.2;8.0;11.0;39.0;null(null);1.0
8/07/15;null(null);0.1;1.8;15.0;17.0;53.0;null(null);1.0
9/07/15;null(null);0.1;2.1;8.0;11.0;69.0;null(null);1.0
10/07/15;null(null);0.1;1.9;2.6;4.5;54.0;null(null);1.0
11/07/15;null(null);0.1;1.9;3.3;5.7;39.0;null(null);1.0
12/07/15;null(null);0.1;2.0;5.6;8.2;45.0;null(null);1.0
13/07/15;null(null);0.1;1.7;11.0;13.0;42.0;null(null);1.0
14/07/15;null(null);0.1;1.9;7.2;9.8;47.0;null(null);1.0
15/07/15;null(null);0.1;1.9;8.9;11.0;48.0;null(null);1.0
16/07/15;null(null);0.1;1.9;4.5;6.9;39.0;null(null);1.0
17/07/15;null(null);0.1;1.9;2.9;5.0;32.0;null(null);1.0
18/07/15;null(null);0.1;2.0;3.1;5.6;28.0;null(null);1.0
19/07/15;null(null);0.1;1.9;4.0;6.5;28.0;null(null);1.0
20/07/15;null(null);0.1;1.8;9.1;12.0;21.0;null(null);1.0
21/07/15;null(null);0.1;3.5;7.3;12.0;24.0;null(null);1.0
22/07/15;null(null);0.1;2.9;5.8;9.3;42.0;null(null);1.0
23/07/15;null(null);0.1;3.1;5.9;10.0;41.0;null(null);1.0
24/07/15;null(null);0.1;2.0;4.1;6.6;37.0;null(null);1.0
25/07/15;null(null);0.1;2.0;9.5;12.0;50.0;null(null);1.0
26/07/15;null(null);0.1;2.0;3.8;6.2;25.0;null(null);1.0
28/07/15;null(null);0.1;2.0;11.0;14.0;26.0;null(null);1.0
29/07/15;null(null);0.1;2.2;7.6;11.0;32.0;null(null);1.0
30/07/15;null(null);0.1;1.8;9.9;12.0;45.0;null(null);1.0
31/07/15;null(null);0.1;1.8;5.9;8.3;57.0;null(null);1.0
1/02/15;null(null);0.1;1.5;4.2;6.0;45.0;null(null);1.8
3/02/15;null(null);0.1;2.2;8.7;12.0;50.0;null(null);1.0
4/02/15;null(null);0.1;2.9;10.0;14.0;47.0;null(null);1.3
5/02/15;null(null);0.1;4.5;14.0;20.0;42.0;null(null);1.9
6/02/15;null(null);0.1;3.8;18.0;24.0;35.0;null(null);1.2
7/02/15;null(null);0.1;2.4;11.0;14.0;35.0;null(null);1.2
8/02/15;null(null);0.1;2.2;5.3;8.2;41.0;null(null);1.3
9/02/15;null(null);0.1;6.2;24.0;33.0;40.0;null(null);4.6
10/02/15;null(null);0.12;5.2;33.0;40.0;30.0;null(null);2.0
11/02/15;null(null);0.14;8.8;34.0;46.0;27.0;null(null);1.5
