Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;;;10.1;59;;;;;;;;;;;35
02/01/2015;;;10.3;68;;;;;;;;;;;33
03/01/2015;;;11.8;57;;;;;;;;;;;32
04/01/2015;;;14.3;50;;;;;;;;;;;42
05/01/2015;;;11;78;;;;;;;;;;;21
06/01/2015;;;11.4;75;;;;;;;;;;;27
07/01/2015;;;10.8;75;;;;;;;;;;;24
08/01/2015;;;11;74;;;;;;;;;;;29
09/01/2015;;;10.7;70;;;;;;;;;;;31
10/01/2015;;;12.1;56;;;;;;;;;;;26
11/01/2015;;;14.2;42;;;;;;;;;;;43
12/01/2015;;;12;76;;;;;;;;;;;31
13/01/2015;;;12.8;78;;;;;;;;;;;29
14/01/2015;;;12.9;69;;;;;;;;;;;27
15/01/2015;;;12.6;76;;;;;;;;;;;26
16/01/2015;;;12.6;56;;;;;;;;;;;43
17/01/2015;;;10;52;;;;;;;;;;;44
18/01/2015;;;8.9;63;;;;;;;;;;;32
19/01/2015;;;9.3;78;;;;;;;;;;;30
20/01/2015;;;8.7;53;;;;;;;;;;;38
21/01/2015;;;9.5;57;;;;;;;;;;;46
22/01/2015;;;10.3;52;;;;;;;;;;;63
23/01/2015;;;10.7;45;;;;;;;;;;;60
24/01/2015;;;10.2;43;;;;;;;;;;;58
25/01/2015;;;13.1;46;;;;;;;;;;;61
26/01/2015;;;11;58;;;;;;;;;;;43
27/01/2015;;;12.2;56;;;;;;;;;;;34
28/01/2015;;;12.3;56;;;;;;;;;;;53
29/01/2015;;;15.1;46;;;;;;;;;;;59
30/01/2015;;;19.1;48;;;;;;;;;;;51
31/01/2015;;;15.3;49;;;;;;;;;;;66
01/02/2015;;;11.2;36;;;;;;;;;;;74
02/02/2015;;;11.7;45;;;;;;;;;;;63
03/02/2015;;;14;45;;;;;;;;;;;66
04/02/2015;;;9.7;47;;;;;;;;;;;73
05/02/2015;;;8.3;34;;;;;;;;;;;71
06/02/2015;;;9.2;37;;;;;;;;;;;61
07/02/2015;;;7.8;51;;;;;;;;;;;43
08/02/2015;;;8.8;62;;;;;;;;;;;51
09/02/2015;;;9.4;64;;;;;;;;;;;55
10/02/2015;;;12.6;63;;;0.1;;;;;;;;84
11/02/2015;3.2;38;13.8;78;1017;110;0;;3;0.1;3;7;28;10;89
12/02/2015;1.5;355;12.4;81;1017;23;0.8;;3;0.2;3;10;23;14;70
13/02/2015;0.9;280;13.6;67;1020;147;0;;3;0.2;3;8;24;12;62
14/02/2015;1.7;254;15.7;51;1016;122;0;;3;0.1;3;6;14;9;72
15/02/2015;2.4;278;16.7;58;1011;160;0.4;;3;0.1;3;5;6;9;65
16/02/2015;2.2;325;16.9;58;1017;137;0;;3;0.1;3;7;9;10;67
17/02/2015;4.3;43;13.8;73;1022;74;0.6;;3;0.1;3;8;16;11;76
18/02/2015;7.6;44;14.1;68;1028;117;0;;3;0.1;3;6;29;9;89
19/02/2015;5.7;45;13.7;67;1028;94;0;;3;0.1;2;6;29;9;104
20/02/2015;1.4;21;12.9;68;1023;156;0;;3;0.2;3;13;26;17;77
21/02/2015;1.9;297;12.8;61;1011;75;0.2;;3;0.1;3;7;16;11;71
22/02/2015;3.4;325;14;41;1014;94;0;;3;0.1;2;5;8;8;89
23/02/2015;2.3;282;17.1;48;1016;151;0.2;;3;0.1;2;6;11;9;68
24/02/2015;5.8;322;16;32;1023;180;0.3;;3;0.1;2;4;10;7;84
25/02/2015;4.9;313;15.5;38;1024;112;0;;3;0.1;2;5;10;8;74
26/02/2015;2.7;313;18.9;44;1020;189;0;;3;0.1;3;7;9;11;60
27/02/2015;3.5;310;17.9;43;1020;180;0;;3;0.1;3;5;12;8;70
28/02/2015;1;237;14;61;1023;186;0;;3;0.1;3;8;19;12;69
01/03/2015;2.1;271;18.5;48;1023;170;0.2;;3;0.1;3;5;11;9;69
02/03/2015;2.1;224;20.1;53;1020;193;0;;3;0.1;3;11;18;16;49
03/03/2015;0.7;84;15;81;1023;92;0.1;;3;0.1;7;13;;24;36
04/03/2015;0.7;19;15;81;1029;158;0;6;3;0.1;4;9;;14;61
05/03/2015;1.4;281;13.5;31;1033;214;0.3;22;3;0.1;3;6;;10;80
06/03/2015;1.1;217;12.2;44;1032;213;0.1;12;3;0.2;7;12;;23;64
07/03/2015;1.7;236;12.8;57;1030;213;0.2;14;3;0.2;5;13;;20;64
08/03/2015;1.2;29;12.5;73;1026;141;0.2;16;3;0.2;4;13;;18;64
09/03/2015;1.9;211;14;72;1025;198;0.2;13;3;0.1;3;9;;13;76
10/03/2015;;;14;75;;;0.2;;;;;;;;
11/03/2015;;;15.4;64;;;;;;;;;;;
12/03/2015;;;16.2;64;;;;;;;;;;;
13/03/2015;;;15.1;74;;;;;;;;;;;
14/03/2015;;;11.8;78;;;;;;;;;;;
15/03/2015;;;11.7;71;;;;;;;;;;;
16/03/2015;;;12.2;67;;;;;;;;;;;
17/03/2015;;;11.9;67;;;;;;;;;;;
18/03/2015;;;13.5;74;;;;;;;;;;;80
19/03/2015;;;14.6;80;;;;;;;;;;;
20/03/2015;;;15.2;77;;;;;;;;;;;87
21/03/2015;;;15.1;75;;;;;;;;;;;67
22/03/2015;;;15.5;76;;;;;;;;;;;74
