Fecha;SO2;NO;NO2;O3;CO;PM10;PM25;BEN
01/01/2015;2;16;46;28;0.4;23;16;Sense dades
02/01/2015;5;106;92;9;0.9;29;22;Sense dades
03/01/2015;1;67;68;19;0.8;25;21;0.5
04/01/2015;2;53;60;16;0.6;28;23;Sense dades
05/01/2015;3;86;80;6;0.9;34;26;0.4
06/01/2015;3;20;43;24;0.7;24;20;Sense dades
07/01/2015;4;67;75;9;1;39;29;0.4
08/01/2015;3;93;73;6;0.8;34;24;Sense dades
09/01/2015;2;73;64;8;0.7;25;18;Sense dades
10/01/2015;2;117;80;6;0.9;35;24;0.7
11/01/2015;1;63;54;14;0.7;30;21;Sense dades
12/01/2015;4;55;69;18;0.8;27;15;0.3
13/01/2015;4;42;76;15;0.7;32;17;Sense dades
14/01/2015;1;41;68;23;0.7;30;18;Sense dades
15/01/2015;4;28;64;22;0.7;32;21;Sense dades
16/01/2015;2;41;55;21;0.5;29;18;Sense dades
17/01/2015;3;14;40;35;0.3;15;11;0.2
18/01/2015;2;16;46;35;0.2;16;11;Sense dades
19/01/2015;3;32;56;25;0.5;13;11;0.3
20/01/2015;2;20;43;25;0.5;11;9;Sense dades
21/01/2015;3;33;46;24;0.5;19;14;0.2
22/01/2015;3;32;50;25;0.6;18;14;Sense dades
23/01/2015;3;25;49;30;0.4;16;11;Sense dades
24/01/2015;1;4;19;58;0.3;12;8;Sense dades
25/01/2015;3;10;40;54;0.3;15;10;Sense dades
26/01/2015;3;27;54;30;0.5;18;10;0.2
27/01/2015;4;39;57;22;0.5;22;12;Sense dades
28/01/2015;3;33;59;25;0.5;21;11;0.2
29/01/2015;1;21;45;30;0.5;18;12;Sense dades
30/01/2015;2;6;29;52;0.3;10;8;Sense dades
31/01/2015;2;5;22;55;0.2;8;8;0
01/02/2015;3;2;13;65;0.3;8;8;Sense dades
02/02/2015;2;28;51;35;0.7;13;8;0.2
03/02/2015;3;30;55;21;0.5;13;9;Sense dades
04/02/2015;2;18;45;35;0.5;12;8;0.2
05/02/2015;3;29;53;32;0.5;15;10;Sense dades
06/02/2015;3;22;50;34;0.6;15;11;Sense dades
07/02/2015;2;21;51;24;0.4;24;19;0.2
08/02/2015;2;11;34;40;0.3;24;20;Sense dades
09/02/2015;4;37;71;29;0.8;36;25;0.2
10/02/2015;6;72;88;Sense dades;0.7;36;23;Sense dades
