COD_LOCAL;PROVINCIA;MUNICIPIO;ESTACION;COD_ESTACION_DEM;N_RED;NOMBRE;FECHA_INI;FECHA_FIN;LONGITUD_G;LATITUD_G;ALTITUD;N_CCAA;N_PROVINCIA;N_MUNICIPIO;TIPO_ESTACION;TIPO_AREA;TIPO_SUBAREA_RURAL;EST;ZONA;DIRECCION
8263007;8;263;7;ES2011A;CCAA Cataluña;ST. VICENÇ DELS HORTS - ÀLABA;29/02/2012;;1.99963;41.40077;65;CATALUÑA;BARCELONA;SANT VICENÇ DELS HORTS;INDUSTRIAL;SUBURBANA;REGIONAL;RI;AGRICOLA;LA ESTANCA
8074005;8;74;5;ES1773A;CCAA Cataluña;T2-CUBELLES;31/12/2004;;1.6722;41.20223;5;CATALUÑA;BARCELONA;CUBELLES;INDUSTRIAL;SUBURBANA;;UI;RESIDENCIAL;CUARTEL GUARDIA CIVIL
8282001;8;282;1;ES1842A;CCAA Cataluña;TIANA;01/06/2005;;2.26915;41.48151;111;CATALUÑA;BARCELONA;TIANA;FONDO;SUBURBANA;;UI;RESIDENCIAL/INDUSTRIAL;C/ SALOU
8283004;8;283;4;ES1923A;CCAA Cataluña;TONA - ZONA ESPORTIVA;01/06/2009;;2.21758;41.84603;620;CATALUÑA;BARCELONA;TONA;FONDO;RURAL;REGIONAL;RI;RESIDENCIAL/AGRICOLA;SAN PEDRO DE SORRIZO, ARTEIXO
8301004;8;301;4;ES1903A;CCAA Cataluña;VILADECANS-ATRIUM;01/01/2009;;2.01382;41.31348;14;CATALUÑA;BARCELONA;VILADECANS;FONDO;SUBURBANA;;SI;RESIDENCIAL/COMERCIAL/NATURALEZA;PASEO FLUVIAL S/N, ARTEIXO
8302005;8;302;5;ES2035A;CCAA Cataluña;VILANOVA DEL CAMÍ (HORTS);21/02/2013;;1.63761;41.5677;305;CATALUÑA;BARCELONA;VILANOVA DEL CAMÍ;FONDO;SUBURBANA;;SF;AGRICOLA;CAMINO LA CHOZA S/N
8019045;8;19;45;ES0567A;CCAA Cataluña;ZONA UNIVERSITARIA;01/01/1984;;2.11957;41.38491;24;CATALUÑA;BARCELONA;BARCELONA;FONDO;URBANA;;UI;RESIDENCIAL/INDUSTRIAL;LOMO LAS BRUJAS S/N
17044006;17;44;6;ES0991A;CCAA Cataluña;AJUNTAMENT;01/04/1990;;2.87424;41.8849;160;CATALUÑA;GIRONA;CASSÀ DE LA SELVA;TRAFICO;SUBURBANA;;UF;RESIDENCIAL/INDUSTRIAL;CALLE CAMINO DEL HIERRO
17022002;17;22;2;ES1559A;CCAA Cataluña;AJUNTAMENT;01/01/2000;;3.03743;41.95933;9;CATALUÑA;GIRONA;BISBAL D'EMPORDÀ (LA);FONDO;SUBURBANA;;UF;RESIDENCIAL;AVDA. SANTA ROSA DE LIMA S/N
17125001;17;125;1;ES1310A;CCAA Cataluña;AK-PARDINES;01/01/1993;;2.21427;42.31208;1226;CATALUÑA;GIRONA;PARDINES;FONDO;RURAL;;UT;RESIDENCIAL/COMERCIAL;AV. ANDALUCÍA, S/N
17001002;17;1;2;ES1201A;CCAA Cataluña;AL-AGULLANA;01/02/1992;;2.84214;42.39198;214;CATALUÑA;GIRONA;AGULLANA;FONDO;RURAL;;SF;RESIDENCIAL/COMERCIAL;SE-30 - N-IV
17013001;17;13;1;ES1311A;CCAA Cataluña;AV-BEGUR;01/01/1993;;3.21285;41.95868;200;CATALUÑA;GIRONA;BEGUR;FONDO;RURAL;;UF;RESIDENCIAL/COMERCIAL;CAMINO DE VERA S/N
17184001;17;184;1;ES1347A;CCAA Cataluña;AX-SANTA PAU;01/01/1994;;2.51021;42.14326;496;CATALUÑA;GIRONA;SANTA PAU;FONDO;RURAL;REGIONAL;RF;AGRICOLA;EDAR DE TORRE ENDOMENECH
17027002;17;27;2;ES1936A;CCAA Cataluña;BREDA-CORREUS ANTIC;01/01/2010;;2.55666;41.74633;160;CATALUÑA;GIRONA;BREDA;INDUSTRIAL;RURAL;;SI;RESIDENCIAL/INDUSTRIAL;C.P. MONTEBLANCO
17032999;17;32;999;ES0010R;EMEP/VAG/CAMP;CABO DE CREUS;01/07/1997;;3.31583;42.31917;23;CATALUÑA;GIRONA;CADAQUÉS;FONDO;RURAL;;UT;RESIDENCIAL/COMERCIAL;AV. DE ROMA - C. D'URGELL
17079003;17;79;3;ES1999A;CCAA Cataluña;GIRONA (ESCOLA DE MÚSICA);01/05/2011;;2.81655;41.97639;73;CATALUÑA;GIRONA;GIRONA;TRAFICO;URBANA;;SF;RESIDENCIAL/COMERCIAL;AV. DE JOSEP TARRADELLAS, S/N
25120001;25;120;1;ES1225A;CCAA Cataluña;AB-LLEIDA;01/04/1992;;0.61573;41.61579;220;CATALUÑA;LLEIDA;LLEIDA;TRAFICO;URBANA;;SF;RESIDENCIAL/COMERCIAL;C. DEL GENERAL BOADELLA, 5
25209001;25;209;1;ES1248A;CCAA Cataluña;AO-SORT;01/06/1992;;1.13;42.40538;692;CATALUÑA;LLEIDA;SORT;FONDO;RURAL;CERCA DE UNA CIUDAD;SI;RESIDENCIAL/COMERCIAL/INDUSTRIAL;C. D'ANSELM CLAVÉ, 9
25051001;25;51;1;ES1348A;CCAA Cataluña;AZ-BELLVER DE CERDANYA;01/01/1994;;1.77678;42.36832;1060;CATALUÑA;LLEIDA;BELLVER DE CERDANYA;FONDO;RURAL;CERCA DE UNA CIUDAD;SF;RESIDENCIAL/INDUSTRIAL/AGRICOLA;ESTADI MUNICIPAL D'ATLETISME
25172001;25;172;1;ES1588A;CCAA Cataluña;BB-PONTS;31/12/2000;;1.19297;41.90665;370;CATALUÑA;LLEIDA;PONTS;FONDO;RURAL;;UF;RESIDENCIAL;C/ POETA JOSE HIERRO, POLIDEPORTIVO PACHI TORRE
25224999;25;224;999;ES0014R;EMEP/VAG/CAMP;ELS TORMS;01/11/2000;;0.73472;41.39389;470;CATALUÑA;LLEIDA;TORMS (ELS);FONDO;RURAL;;UI;RESIDENCIAL;LEOPOLDO CALVO 3
25119002;25;119;2;ES2034A;CCAA Cataluña;JUNEDA (PLA DE MOLÍ);08/05/2013;;0.82993;41.5441;255;CATALUÑA;LLEIDA;JUNEDA;FONDO;RURAL;CERCA DE UNA CIUDAD;RI;DESCONOCIDO;LILLO DEL BIERZO
25196001;25;196;1;ES1982A;CCAA Cataluña;MONTSEC (OAM);31/12/2010;;0.72956;42.05134;1570;CATALUÑA;LLEIDA;SANT ESTEVE DE LA SARGA;FONDO;RURAL;;UT;RESIDENCIAL;BARRIO DE LA BAÑEZA
43103001;43;103;1;ES1122A;CCAA Cataluña;A1-PERAFORT;01/07/1990;;1.2367;41.19359;97;CATALUÑA;TARRAGONA;PERAFORT;INDUSTRIAL;RURAL;;SI;RESIDENCIAL;GAYESCAS S/N
43047001;43;47;1;ES1123A;CCAA Cataluña;A3-CONSTANTÍ;01/06/1990;;1.21772;41.15492;56;CATALUÑA;TARRAGONA;CONSTANTÍ;INDUSTRIAL;SUBURBANA;;UI;INDUSTRIAL;RESIDENCIA DE LA TERCERA EDAD DE BURRIANA
43171001;43;171;1;ES1117A;CCAA Cataluña;A4-VILA-SECA;01/06/1990;;1.15182;41.11209;41;CATALUÑA;TARRAGONA;VILA-SECA;INDUSTRIAL;SUBURBANA;REGIONAL;RF;RESIDENCIAL/NATURALEZA;ASSOCIACIÓ NEREO, MAS D'EN PINC
43148001;43;148;1;ES1124A;CCAA Cataluña;A5-TARRAGONA (ST. SALVADOR);01/06/1990;;1.2397;41.15945;77;CATALUÑA;TARRAGONA;TARRAGONA;INDUSTRIAL;SUBURBANA;CERCA DE UNA CIUDAD;RF;AGRICOLA;PARAJE SITUADO SOBRE EL CAMPO DE FÚTBOL
43148003;43;148;3;ES1120A;CCAA Cataluña;A7-BONAVISTA;01/06/1990;;1.19198;41.11588;39;CATALUÑA;TARRAGONA;TARRAGONA;INDUSTRIAL;SUBURBANA;;UT;RESIDENCIAL/COMERCIAL;C/ ROGER DE FLOR - AV. DE MADRID
43123005;43;123;5;ES1208A;CCAA Cataluña;AF-REUS;01/02/1992;;1.12017;41.15078;102;CATALUÑA;TARRAGONA;REUS;TRAFICO;SUBURBANA;;UI;RESIDENCIAL/COMERCIAL;CASA MUNICIPAL DE CULTURA
43004004;43;4;4;ES2009A;CCAA Cataluña;ALCANAR (DEPURADORA);01/11/2011;;0.5468;40.57778;20;CATALUÑA;TARRAGONA;ALCANAR;INDUSTRIAL;RURAL;;SI;RESIDENCIAL/INDUSTRIAL;CTRA. DE MAHON A SAN LUIS, KM 2
43004005;43;4;5;ES2017A;CCAA Cataluña;ALCANAR(LLAR DE JUBILATS);01/03/2012;;0.52998;40.55282;7;CATALUÑA;TARRAGONA;ALCANAR;INDUSTRIAL;SUBURBANA;;SF;COMERCIAL/INDUSTRIAL/AGRICOLA;C/ CARNESSERS-POLIGON INDUSTRIAL-SERVEIS
43014001;43;14;1;ES1215A;CCAA Cataluña;AP-AMPOSTA;26/02/1992;;0.58165;40.70671;8;CATALUÑA;TARRAGONA;AMPOSTA;FONDO;SUBURBANA;REMOTA;RFREM;NATURALEZA;CTRA. DE POLLENÇA A CAMPANET
43148022;43;148;22;ES1312A;CCAA Cataluña;AS-TARRAGONA;01/01/1993;;1.20077;41.10368;5;CATALUÑA;TARRAGONA;TARRAGONA;INDUSTRIAL;SUBURBANA;;SI;RESIDENCIAL/COMERCIAL/INDUSTRIAL;DIPUTACIÓN DE BARRANCO HONDO
43064001;43;64;1;ES1379A;CCAA Cataluña;AY-GANDESA;01/05/1994;;0.43971;41.0582;368;CATALUÑA;TARRAGONA;GANDESA;FONDO;RURAL;;ST;DESCONOCIDO;UNKNOWN
43044003;43;44;3;ES1754A;CCAA Cataluña;BC-LA SÈNIA;01/10/2004;;0.28845;40.643;428;CATALUÑA;TARRAGONA;SÉNIA (LA);FONDO;RURAL;CERCA DE UNA CIUDAD;RI;AGRICOLA;CAMINO CEMENTERIO
43148028;43;148;28;ES1666A;CCAA Cataluña;BE-TARRAGONA (PARC DE LA CIUTAT);02/07/2003;;1.24165;41.11739;13;CATALUÑA;TARRAGONA;TARRAGONA;FONDO;URBANA;REGIONAL;RI;RESIDENCIAL/COMERCIAL/INDUSTRIAL;ESTACIÓN FITOPATOLÓGICA DE AREEIRO (LOURIZÁN)
43005002;43;5;2;ES1812A;CCAA Cataluña;BI-ALCOVER ;31/12/2005;;1.17992;41.27838;238;CATALUÑA;TARRAGONA;ALCOVER;INDUSTRIAL;RURAL;;UF;INDUSTRIAL;AVDA. FERMÍN SALVOCHEA, S/N
43070001;43;70;1;ES1813A;CCAA Cataluña;BJ- GUIAMETS;01/03/2006;;0.7551;41.10069;220;CATALUÑA;TARRAGONA;GUIAMETS (ELS);FONDO;RURAL;;UF;RESIDENCIAL;PARQUE DE PURIFICACIÓN TOMÁS
43016002;43;16;2;ES1408A;CCAA Cataluña;COL.LEGI PÚBLIC SANT JULIÁ;01/06/1992;;1.59503;41.26805;169;CATALUÑA;TARRAGONA;ARBOÇ (L');INDUSTRIAL;RURAL;;UF;RESIDENCIAL/COMERCIAL/INDUSTRIAL;C/JUAN PEÑALVER
43148026;43;148;26;ES1506A;CCAA Cataluña;DARP;01/06/1990;;1.2467;41.1229;22;CATALUÑA;TARRAGONA;TARRAGONA;FONDO;URBANA;;UF;DESCONOCIDO;C/JÚPITER, 21
43013001;43;13;1;ES1909A;CCAA Cataluña;ESCOLA NAUTICA-L'AMETLLA;12/03/2009;;0.79918;40.88066;2;CATALUÑA;TARRAGONA;AMETLLA DE MAR (L');TRAFICO;RURAL;;SI;RESIDENCIAL/INDUSTRIAL;PLAZA DEL FRONTÓN, S/N
43013002;43;13;2;ES1930A;CCAA Cataluña;L'AMETLLA DE MAR - DEIXALLERIA;01/09/2009;;0.8098;40.90269;34;CATALUÑA;TARRAGONA;AMETLLA DE MAR (L');TRAFICO;RURAL;;SI;RESIDENCIAL;PARQUE DO CONCELLO
43162005;43;162;5;ES1948A;CCAA Cataluña;R2-VANDELLÒS I L'H (BARRAC DEL TERME);31/01/2010;;0.83134;40.93955;96;CATALUÑA;TARRAGONA;VANDELLÒS I L'HOSPITALET DE L'INFANT;INDUSTRIAL;RURAL;;UT;RESIDENCIAL/COMERCIAL;C/ GALICIA (MERCADO CENTRAL)
43162001;43;162;1;ES1854A;CCAA Cataluña;R4-VANDELLÓS I L'HOSPITALET(ELS DEDALTS);31/12/2006;;0.83108;41.00821;737;CATALUÑA;TARRAGONA;VANDELLÒS I L'HOSPITALET DE L'INFANT;FONDO;RURAL;;SF;RESIDENCIAL/AGRICOLA;COMPLEJO DEPORTIVO AFONSO MORENO
43162002;43;162;2;ES1855A;CCAA Cataluña;VIVER D¿EMPRESES;31/12/2006;;0.91288;41.00951;60;CATALUÑA;TARRAGONA;VANDELLÒS I L'HOSPITALET DE L'INFANT;TRAFICO;SUBURBANA;;UF;RESIDENCIAL/INDUSTRIAL;C/ LUCIO MARCOS, COMPLEJO DEPORTIVO LA LECHERA
3002002;3;2;2;ES1847A;CCAA Com. Valenciana;AGOST;06/09/2005;;-0.63806;38.43639;312;COMUNIDAD VALENCIANA;ALICANTE/ALACANT;AGOST;INDUSTRIAL;URBANA;;UF;RESIDENCIAL;C/ RIAÑO
3014009;3;14;9;ES1968A;CCAA Com. Valenciana;ALACANT - RABASSA;20/01/2010;;-0.51389;38.35111;20;COMUNIDAD VALENCIANA;ALICANTE/ALACANT;ALICANTE/ALACANT;INDUSTRIAL;SUBURBANA;;UF;RESIDENCIAL;C/PRINCESA DE EBOLI - C/MARIA TUDOR
3014006;3;14;6;ES1635A;CCAA Com. Valenciana;ALACANT-EL PLÁ;01/07/2002;;-0.47194;38.35944;45;COMUNIDAD VALENCIANA;ALICANTE/ALACANT;ALICANTE/ALACANT;TRAFICO;URBANA;CERCA DE UNA CIUDAD;RF;RESIDENCIAL;CAMPO DE GOLF PANORAMA
3014008;3;14;8;ES1915A;CCAA Com. Valenciana;ALACANT-FLORIDA-BABEL;18/07/2008;;-0.50667;38.34028;55;COMUNIDAD VALENCIANA;ALICANTE/ALACANT;ALICANTE/ALACANT;FONDO;URBANA;;SF;RESIDENCIAL/COMERCIAL;ECOPARQUE DE BENIDORM
3009006;3;9;6;ES1623A;CCAA Com. Valenciana;ALCOI - VERGE DELS LLIRIS;25/06/2002;;-0.46694;38.70639;534;COMUNIDAD VALENCIANA;ALICANTE/ALACANT;ALCOY/ALCOI;FONDO;URBANA;;UT;RESIDENCIAL/COMERCIAL;JARDINS DE CAN MANTEGA
3031002;3;31;2;ES1675A;CCAA Com. Valenciana;BENIDORM;27/01/2004;;-0.14667;38.57139;44;COMUNIDAD VALENCIANA;ALICANTE/ALACANT;BENIDORM;FONDO;SUBURBANA;;SI;RESIDENCIAL/INDUSTRIAL;AV. DE LA UNITAT, 6 (AJUNTAMENT)
3105001;3;105;1;ES1913A;CCAA Com. Valenciana;EL PINÓS;18/01/2006;;-1.06472;38.45167;642;COMUNIDAD VALENCIANA;ALICANTE/ALACANT;PINOSO;FONDO;RURAL;;SI;RESIDENCIAL/INDUSTRIAL;UNIVERSITAT LABORAL
3066003;3;66;3;ES1914A;CCAA Com. Valenciana;ELDA-LACY;04/09/2008;;-0.80333;38.45472;355;COMUNIDAD VALENCIANA;ALICANTE/ALACANT;ELDA;FONDO;SUBURBANA;CERCA DE UNA CIUDAD;UF;RESIDENCIAL/COMERCIAL;AV. DE CATALUNYA, 50
3065006;3;65;6;ES1624A;CCAA Com. Valenciana;ELX-AGROALIMENTARI;27/06/2002;;-0.68278;38.24222;44;COMUNIDAD VALENCIANA;ALICANTE/ALACANT;ELCHE/ELX;FONDO;SUBURBANA;REGIONAL;RF;NATURALEZA;PARQUE NATURAL DE MONFRAGÚE
3065007;3;65;7;ES1849A;CCAA Com. Valenciana;ELX-PARC DE BOMBERS;17/07/2007;;-0.7175;38.25917;99;COMUNIDAD VALENCIANA;ALICANTE/ALACANT;ELCHE/ELX;TRAFICO;URBANA;;UT;RESIDENCIAL/INDUSTRIAL;C/NAFARROA ETORBIDEA S/Nº (TOLOSA)
3099002;3;99;2;ES1677A;CCAA Com. Valenciana;ORIHUELA;01/03/2004;;-0.85278;38.08472;32;COMUNIDAD VALENCIANA;ALICANTE/ALACANT;ORIHUELA;FONDO;SUBURBANA;;ST;AGRICOLA;DEPÓSITO MUNICIPAL DE AGUA DE BOCA
3133002;3;133;2;ES2008A;CCAA Com. Valenciana;TORREVIEJA;01/01/2011;;-0.69;37.99111;10;COMUNIDAD VALENCIANA;ALICANTE/ALACANT;TORREVIEJA;TRAFICO;URBANA;;UF;RESIDENCIAL/COMERCIAL;RONDA DE LA LIBERACIÓN, S/N
12005005;12;5;5;ES1685A;CCAA Com. Valenciana;ALCORA;01/01/2004;;-0.18972;40.05194;160;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;ALCORA (L');INDUSTRIAL;URBANA;REGIONAL;RF;NATURALEZA;HELIPUERTO DE EL MAILLO
12009007;12;9;7;ES1877A;CCAA Com. Valenciana;ALMASSORA-C. P. OCHANDO;10/10/2006;;-0.05639;39.94528;27;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;ALMAZORA/ALMASSORA;INDUSTRIAL;URBANA;REGIONAL;RF;MONTAÑA;URB.LAS VIÑAS S/N (POBLADO DE IBERDROLA EN CORTES DE PALLÁS)
12028001;12;28;1;ES1687A;CCAA Com. Valenciana;BENICASSIM;01/01/2004;;0.07278;40.06222;50;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;BENICASIM/BENICÀSSIM;INDUSTRIAL;SUBURBANA;;SF;NATURALEZA;CARRER DE LA COMARCAL 601, JUNT A LES COVES DE SANT JOSEP
12032001;12;32;1;ES1688A;CCAA Com. Valenciana;BURRIANA;01/01/2004;;-0.065;39.89222;37;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;BURRIANA;INDUSTRIAL;RURAL;;UT;RESIDENCIAL/COMERCIAL/INDUSTRIAL;C/ LLANOPONTE, S/N
12032005;12;32;5;ES1797A;CCAA Com. Valenciana;BURRIANA RESIDENCIA;31/12/2004;;-0.08778;39.895;20;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;BURRIANA;INDUSTRIAL;URBANA;CERCA DE UNA CIUDAD;RI;RESIDENCIAL/COMERCIAL/INDUSTRIAL;COLEGIO LAS CUESTAS
12040016;12;40;16;ES1916A;CCAA Com. Valenciana;CASTELLÓ - ITC;01/01/2009;;-0.065;39.99583;30;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;FONDO;URBANA;;SF;RESIDENCIAL;C. DE SANT DOMÈNEC - C. D'ITÀLIA
12040009;12;40;9;ES1428A;CCAA Com. Valenciana;CASTELLÓ-ERMITA;01/10/1995;;-0.03611;39.95917;44;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;INDUSTRIAL;SUBURBANA;;UF;RESIDENCIAL;AVDA.LA GAVIA - AVDA.LAS SUERTES
12040010;12;40;10;ES1445A;CCAA Com. Valenciana;CASTELLÓ-GRAU;20/03/1996;;0.01056;39.98194;10;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;INDUSTRIAL;SUBURBANA;;UF;RESIDENCIAL;C\MOMPEAN
12040015;12;40;15;ES1834A;CCAA Com. Valenciana;CASTELLÓ-PATRONAT D'ESPORTS;02/02/2006;;-0.02611;39.98889;18;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;TRAFICO;URBANA;;UT;RESIDENCIAL/COMERCIAL;TORNEO-CARTUJA
12040008;12;40;8;ES1386A;CCAA Com. Valenciana;CASTELLÓ-PENYETA;15/07/1994;;-0.05722;40.01278;106;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;INDUSTRIAL;SUBURBANA;;SF;AGRICOLA;PARQUE EL BOTICARIO
12046001;12;46;1;ES1689A;CCAA Com. Valenciana;CIRAT;01/03/2004;;-0.46833;40.05417;466;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;CIRAT;FONDO;RURAL;;SI;INDUSTRIAL;SUBESTACION DE TORREARENILLAS( FRENTE A REFINERIA LA RÁBIDA)
12093004;12;93;4;ES1437A;CCAA Com. Valenciana;CORATXAR;01/01/1984;;0.08472;40.69167;1200;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;POBLA DE BENIFASSÀ (LA);INDUSTRIAL;RURAL;REMOTA;RFREM;NATURALEZA;PENÍNSULA DE LA MOLA
12126003;12;126;3;ES1969A;CCAA Com. Valenciana;LA VALL D'UIXÓ;01/04/2010;;-0.24444;39.82361;250;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;VALL D'UIXÓ (LA);FONDO;SUBURBANA;;SI;RESIDENCIAL/INDUSTRIAL;CTRA. DE MAHON A CIUDADELA, KM 1
12005004;12;5;4;ES1621A;CCAA Com. Valenciana;L'ALCORA-PM;06/04/2002;;-0.20639;40.06861;175;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;ALCORA (L');INDUSTRIAL;URBANA;;SF;INDUSTRIAL/NATURALEZA;PARQUE DE BELLVER
12080007;12;80;7;ES1441A;CCAA Com. Valenciana;MORELLA;01/01/1996;;-0.09111;40.63722;1150;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;MORELLA;FONDO;RURAL;CERCA DE UNA CIUDAD;RF;NATURALEZA;CAMINO DEL NEVAZO
12084003;12;84;3;ES1387A;CCAA Com. Valenciana;ONDA;20/07/1994;;-0.23333;39.96278;163;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;ONDA;INDUSTRIAL;SUBURBANA;;SF;RESIDENCIAL/INDUSTRIAL;ESCUELA
12099001;12;99;1;ES1542A;CCAA Com. Valenciana;SANT JORDI;01/09/1999;;0.37278;40.55472;181;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;SAN JORGE;FONDO;RURAL;;SI;RESIDENCIAL/INDUSTRIAL;CENTRAL HIDROELECTRICA
12120001;12;120;1;ES1690A;CCAA Com. Valenciana;TORRE ENDOMENECH;01/02/2004;;-0.07889;40.26944;259;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;TORRE ENDOMÉNECH;FONDO;RURAL;;UF;RESIDENCIAL;GLORIETA PRADERA DE VAQUERIZAS 9
12124001;12;124;1;ES1918A;CCAA Com. Valenciana;VALL D'ALBA PM;02/05/2008;;-0.03444;40.175;305;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;VALL D'ALBA;INDUSTRIAL;URBANA;;UI;RESIDENCIAL;PLAZA AMERICA
12129001;12;129;1;ES1435A;CCAA Com. Valenciana;VILAFRANCA;01/01/1996;;-0.24917;40.41667;1125;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;VILLAFRANCA DEL CID;FONDO;SUBURBANA;REGIONAL;RI;AGRICOLA/NATURALEZA;ALDEA DE SAÁ,  AS  PONTES
12135004;12;135;4;ES1622A;CCAA Com. Valenciana;VILA-REAL-PM;06/04/2002;;-0.10583;39.94167;60;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;VILLARREAL/VILA-REAL;INDUSTRIAL;URBANA;;SI;RESIDENCIAL/INDUSTRIAL;C/ DE L'ALGUER, LES CASES D'ALCANAR
12138001;12;138;1;ES2036A;CCAA Com. Valenciana;VINARÒS PLANTA;01/01/2013;;0.425;40.54611;105;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;VINARÒS;INDUSTRIAL;RURAL;;SF;RESIDENCIAL;AVDA. LA GUARDIA
12138002;12;138;2;ES2037A;CCAA Com. Valenciana;VINARÒS PLATAFORMA;01/01/2013;;0.70917;40.38333;22;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;VINARÒS;INDUSTRIAL;RURAL;;SF;RESIDENCIAL;POLIDEPORTIVO MUNICIPAL C/MORERAS
12140002;12;140;2;ES1691A;CCAA Com. Valenciana;VIVER;01/01/2004;;-0.60333;39.93056;616;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;VIVER;FONDO;SUBURBANA;;SI;RESIDENCIAL/COMERCIAL/INDUSTRIAL;C/ LA ESPERANZA, S/N
12141002;12;141;2;ES1543A;CCAA Com. Valenciana;ZORITA;01/09/1999;;-0.16944;40.735;619;COMUNIDAD VALENCIANA;CASTELLÓN/CASTELLÓ;ZORITA DEL MAESTRAZGO;FONDO;RURAL;;UF;RESIDENCIAL/COMERCIAL;C/ CIFUENTES, 26 (CENTRO SOCIAL CIFUENTES)
46010001;46;10;1;ES1911A;CCAA Com. Valenciana;ALBALAT DELS TARONGERS;18/02/2009;;-0.33667;39.70528;320;COMUNIDAD VALENCIANA;VALENCIA;ALBALAT DELS TARONGERS;INDUSTRIAL;SUBURBANA;;SF;RESIDENCIAL/INDUSTRIAL;C/ CURTIDORES,2 (POLIGONO INDUSTRIAL LA VEREDILLA)
46028001;46;28;1;ES2018A;CCAA Com. Valenciana;ALGAR DE PALÀNCIA;12/03/2012;;-0.35917;39.78222;200;COMUNIDAD VALENCIANA;VALENCIA;ALGAR DE PALANCIA;FONDO;RURAL;;UI;RESIDENCIAL/INDUSTRIAL;C/ FAYNA ESQ AVDA MARÍTIMA
46017002;46;17;2;ES1617A;CCAA Com. Valenciana;ALZIRA;09/11/2001;;-0.45778;39.15;60;COMUNIDAD VALENCIANA;VALENCIA;ALZIRA;FONDO;SUBURBANA;;SF;RESIDENCIAL;PARQUE PERIURBANO DE PORZUNA
46062001;46;62;1;ES1709A;CCAA Com. Valenciana;BENIGANIM;05/01/2004;;-0.44139;38.93472;195;COMUNIDAD VALENCIANA;VALENCIA;BENIGÁNIM;FONDO;SUBURBANA;;UI;RESIDENCIAL/COMERCIAL/INDUSTRIAL;C/ JULIO DE PABLO, PARQUE CROSS MALIAÑO
46077006;46;77;6;ES1886A;CCAA Com. Valenciana;BUÑOL CEMEX;21/05/2007;;-0.78389;39.42722;400;COMUNIDAD VALENCIANA;VALENCIA;BUÑOL;INDUSTRIAL;SUBURBANA;REGIONAL;RF;NATURALEZA;CARRETERA LOS TOJOS - COLSA, S/N
46078004;46;78;4;ES1625A;CCAA Com. Valenciana;BURJASSOT - FACULTATS;01/07/2002;;-0.41778;39.50944;25;COMUNIDAD VALENCIANA;VALENCIA;BURJASSOT;TRAFICO;URBANA;;UT;RESIDENCIAL/COMERCIAL;C/ALCALÁ ESQUINA C/ O'DONNELL
46095001;46;95;1;ES1670A;CCAA Com. Valenciana;CAUDETE DE LAS FUENTES;03/02/2004;;-1.28139;39.55861;804;COMUNIDAD VALENCIANA;VALENCIA;CAUDETE DE LAS FUENTES;FONDO;RURAL;;UT;RESIDENCIAL/COMERCIAL;PL. DE LA UNIVERSITAT - C. DE BALMES
46099001;46;99;1;ES2001A;CCAA Com. Valenciana;CORTES DE PALLÁS;14/07/2010;;-0.93444;39.26083;493;COMUNIDAD VALENCIANA;VALENCIA;CORTES DE PALLÁS;FONDO;RURAL;;SF;RESIDENCIAL/COMERCIAL;PARC DEL MIL·LENI (C. DE LA LLENYA - C. DE L'AIGUA)
