Nombre;Longitud;Latitud
Aguimes;-15.44503;27.89764
Arafo;-16.39972;28.33722
Arinaga;-15.38715;27.86907
Arrecife;-13.54758;28.97699
Barranco Hondo;-16.3581;28.39341
Buzanada;-16.65302;28.07255
Caletillas;-16.36193;28.37671
Casa Cuna;-16.27769;28.45102
Castillo del Romeral;-15.46116;27.80128
Centro de Arte;-13.8524;28.50026
Ciudad Deportiva-Arrecife;-13.55586;28.96787
Costa Teguise;-13.51655;28.99031
El Rio;-16.52369;28.14509
Galletas;-16.65591;28.00774
Granadilla;-16.57758;28.11249
Igueste;-16.37199;28.38054
Jinamar;-15.41631;28.03512
Los Realejos;-16.57067;28.3831
Medano;-16.53605;28.04733
Mercado Central;-15.43282;28.13373
Parque de la Piedra;-13.8537;28.50276
Pedro Lezcano;-15.41609;28.02985
Playa del Ingles;-15.56385;27.76365
San Agustin;-15.54188;27.7726
San Isidro;-16.55986;28.08001
Tajao;-16.47163;28.11137
Telde;-15.41466;28.02632
Parque de San Juan;-15.41185;28.00365
Tome Cano;-16.2619;28.46217
Garcia Escamez;-16.27184;28.45666
Deposito de Tristan;-16.27878;28.45816
La Granja;-16.26488;28.46301
Los Dragos;-16.26729;28.45987
Tena Artigas;-16.27675;28.45538
Piscina Municipal;-16.26333;28.45795
Parque de Bomberos;-16.26094;28.45836
Tio Pino;-16.27021;28.45931
Deposito la Guancha;-16.36833;28.38016
Temisa;-15.48833;27.89833
Alfonso-Arucas;-15.52092;28.11127
El Charco;-13.84898;28.50616
Casa Palacio;-13.86083;28.49838
Tefia;-14.00444;28.52722
La Grama;-17.77555;28.66771
El Pilar;-17.76459;28.68598
Las Balsas;-17.78255;28.8051
San Antonio;-17.77155;28.6454
Residencia Escolar;-17.12051;28.09905
Echedo;-17.92167;27.83177
Vuelta los Pajaros;-16.27662;28.46179
ARANDA DE DUERO 2;-3.68889;41.66556
AVILA 2;-4.70083;40.66472
BURGOS 1;-3.67556;42.35083
BURGOS 4;-3.63611;42.33611
El Maillo;-6.2225;40.57055556
GUARDO;-4.82722;42.70361
LA ROBLA;-5.62361;42.80278
Lario;-5.08972;43.04139
Puente Regueral;-4.73389;41.65611
Arco de Ladrillo II;-4.73028;41.64556
Vega Sicilia;-4.74667;41.62056
Valladolid Sur;-4.77222;41.61417
LEON 1;-5.587222222;42.60388889
LEON 4;-5.56639;42.57528
La Rubia II;-4.74056;41.63
MEDINA DEL CAMPO;-4.90917;41.31639
MIRANDA DE EBRO 1;-2.9175;42.68444
MIRANDA DE EBRO 2;-2.94056;42.68806
Medina de Pomar;-3.47528;42.95194
Muriel de la Fuente;-2.85694;41.72361
PALENCIA 3;-4.53833;42.01944
SALAMANCA 5;-5.66528;40.97917
SALAMANCA 6;-5.63972;40.96083
SEGOVIA 2;-4.11056;40.95556
PONFERRADA 4;-6.58472;42.54278
SORIA;-2.46667;41.76667
ZAMORA 2;-5.74639;41.50972
3 DE MARZO;-2.667784995;42.85604797
ABANTO;-3.074155996;43.32047399
AGURAIN;-2.39370339;42.84901251
ALGORTA (BBIZI2);-3.022782207;43.36205575
ALONSOTEGI;-2.988024;43.247568
ARRAIZ (Monte);-2.960475857;43.24555373
ATEGORRIETA;-1.960650618;43.32199195
AV. GASTEIZ;-2.680709822;42.85478118
AVDA. TOLOSA;-2.010938424;43.30941344
AZPEITIA;-2.268210419;43.18037005
ANORGA;-1.995741147;43.29053139
BANDERAS (meteo);-2.953278417;43.28099012
BARACALDO;-2.987133;43.298379
BASAURI;-2.883761023;43.2411313
BEASAIN;-2.19138027;43.04809432
BOROA METEO;-2.750687431;43.2359046
CASTREJANA;-2.973456591;43.25807943
DURANGO;-2.637958001;43.168286
EASO;-1.980900864;43.31215281
ELCIEGO;-2.619475212;42.51824807
ERANDIO;-2.977239986;43.30265263
EUROPA;-2.902376116;43.25491057
FARMACIA;-2.672563184;42.84009962
FERIA (meteo);-2.947544;43.265222
HERNANI;-1.97771564;43.26743142
JAIZKIBEL;-1.859412903;43.34277518
LARRABETZU;-2.799399084;43.26122612
LEZO;-1.90013105;43.32152244
LLODIO;-2.963385282;43.14402894
LOS HERRAN;-2.661230557;42.84370296
MAZARREDO;-2.93518811;43.26750551
MONDRAGON;-2.490396683;43.06412079
MONTORRA;-2.716588507;43.20901422
MUNDAKA;-2.703159368;43.40588884
MUNOA;-2.978696001;43.285588
MUSKIZ;-3.112716272;43.32071312
M DIAZ HARO;-2.945656664;43.25880287
NAUTICA;-3.023333334;43.32694444
PAGOETA;-2.154887397;43.25060522
PUYO;-1.984011286;43.30277717
SAN JULIAN;-3.11299477;43.33265016
SANGRONIZ;-2.930385818;43.29842136
SANTURCE;-3.04256;43.333012
SERANTES;-3.06299057;43.33443671
SESTAO;-2.99594962;43.3077261
TOLOSA;-2.078002157;43.13078068
VALDEREJO;-3.231732505;42.87516709
ZALLA;-3.134461259;43.21285724
ZELAIETA PARQUE;-2.73449698;43.21890568
ZIERBENA (Puerto);-3.080988277;43.35305543
ZUMARRAGA;-2.316228856;43.08507598
Avd. Francia (6A);-0.3518996;39.4596761
Boulevar sur (7A);-0.3882597;39.4473151
Moli del Sol (3A);-0.4083663;39.4748268
Viveros (5A);-0.369648223;39.47964093
Pista de silla (4A);-0.376643936;39.45806095
Unv. Politecnica (1A);-0.3429127;39.4811621
Pza. de Espana;-3.712222222;40.42361111
Escuelas Aguirre;-3.682222222;40.42138889
Avda. Ramon y Cajal;-3.677222222;40.45138889
Arturo Soria;-3.639166667;40.44
Villaverde;-3.713055556;40.34694444
Farolillo;-3.731666667;40.39472222
Casa de Campo;-3.747222222;40.41916667
Barajas Pueblo;-3.58;40.47666667
Pza. del Carmen;-3.703055556;40.41916667
Moratalaz;-3.645277778;40.40777778
Cuatro Caminos;-3.706944444;40.44527778
Barrio del Pilar;-3.711388889;40.47805556
Vallecas;-3.651388889;40.38805556
Mendez Alvaro;-3.686666667;40.39805556
Castellana;-3.690277778;40.43972222
Parque del Retiro;-3.6825;40.41444444
Plaza Castilla;-3.688611111;40.46555556
Ensanche de Vallecas;-3.611944444;40.37277778
Urb. Embajada;-3.580555556;40.4625
Pza. Fernandez Ladreda;-3.718611111;40.38472222
Sanchinarro;-3.660277778;40.49416667
El Pardo;-3.774444444;40.51805556
Juan Carlos I;-3.608888889;40.465
Tres Olivos;-3.689722222;40.50055556
Alcobendas;-3.646388889;40.53944444
Rivas-Vaciamadrid;-3.542777778;40.35944444
Avenida Argentina;-5.69611;43.54111
Avenida Castilla;-5.65;43.54167
Avenida Constitucion;-5.70583;43.53111
Avenida Hermanos Felgueroso;-5.65667;43.53611
Montevil;-5.67056;43.51667
Huesca;-0.404224;42.134349
Monzon Centro;0.191101;41.916138
Torrelisa;0.182025;42.457644
Teruel;-1.108396;40.33642
Alagon;-1.144798;41.762073
Bujaraloz;-0.153154;41.504788
Parque de Bellver;2.62055;39.56332
Foners;2.65583;39.57008
Ciutadela;3.85648;40.00944
Sant Antoni de Portmany;1.30894;38.99323
Cases de Menut;2.4896534;39.7130688
Hospital San Juan de Dios;2.69971;39.54588
La Albufera;3.07413;39.78995
Sa Pobla;3.01488;39.74731
Alcudia I;3.144648;39.834072
Can Llompart;3.02705;39.83962
Sant Lluis;4.25924;39.87774
Pous;4.25285;39.89202
Can Misses;1.41426;38.91382
Dalt Vila;1.43537;38.90648
Parque Bit;2.63044;39.6331
Hospital Joan March;2.68665;39.67766
Torrent;1.43181;38.93492
Alfaro;-1.7608457;42.1794112
Arrubal;-2.2521524;42.434801
Galilea;-2.2413103;42.3473929
La Ciguena;-2.4314259;42.4643985
Pradejon;-2.0751936;42.3308081
Albacete;-1.85213;38.97928
Azuqueca;-3.263333;40.573611
Ciudad Real;-3.9412279;38.9943752
Calle Ancha;-4.1126717;38.6912155
Cuenca;-2.1301044;40.0626558
Talavera;-4.8467243;39.9584688
Illescas;-3.833242;40.11869
Guadalajara;-3.1744437;40.6295088
Toledo;-4.021086;39.868151
Instituto;-4.107446;38.682256
Campo de Futbol;-4.088995;38.68376
Barriada 630;-4.109117;38.703891
Riazor;-8.420589;43.367199
Ferrol;-8.24139;43.48056
Laza;-7.40854;42.06167
Paiosaco;-8.555;43.25972
Xove;-7.50611;43.68806
Torre Hercules;-8.40889;43.3825
Lugo;-7.550662;42.997984
Ourense;-7.87771;42.353079
Ponteareas;-8.52361;42.181502
Campolongo;-8.644089;42.42594
Campus;-8.55913;42.876088
San Caetano;-8.53083;42.88778
Rio Cobo;-7.43194;43.68444
Coia;-8.742077;42.219017
Burela;-7.37889;43.66944
Lope de Vega;-8.7130613;42.2221075
Agost;-0.638056;38.436389
El Pla;-0.4741688;38.3587396
Florida Babel;-0.50831;38.339565
Rabassa;-0.5147722;38.3666702
Albalat dels Tarongers;-0.3395733;39.7038552
Verge dels Lliris;-0.4671334;38.705591
Algar de Palancia;-0.359167;39.782222
Ochando;-0.0618187;39.9443121
Alzira;-0.4538405;39.1515457
Benicassim;0.070885;40.061321
Benidorm;-0.146667;38.571389
Beniganim;-0.4436976;38.9383227
Cemex;-0.783889;39.427222
