Nombre;Longitud;Latitud;Fecha;SO2;NO;PM10;PM25;CO;O3;BEN
Avenida Argentina;-5.69611;43.54111;2015-10-21 22:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 21:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 20:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 19:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 18:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 17:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 16:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;3. MEDIO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 15:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;3. MEDIO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 14:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;3. MEDIO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 13:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 12:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 11:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 10:00;5. MUY BAJO;4. BAJO;3. MEDIO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 9:00;4. BAJO;1. MUY ALTO;2. ALTO;;2. ALTO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 8:00;5. MUY BAJO;1. MUY ALTO;2. ALTO;;3. MEDIO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 7:00;5. MUY BAJO;1. MUY ALTO;2. ALTO;;1. MUY ALTO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 6:00;5. MUY BAJO;1. MUY ALTO;4. BAJO;;3. MEDIO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 5:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 4:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 3:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 2:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 1:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 0:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-20 23:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
