Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;CO;O3
Teruel;-1.108396;40.33642;2015-01-01;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-02;;;;;
Teruel;-1.108396;40.33642;2015-01-03;5. MUY BAJO;4. BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-04;5. MUY BAJO;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-05;3. MEDIO;4. BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-06;5. MUY BAJO;4. BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-07;4. BAJO;4. BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-08;4. BAJO;4. BAJO;2. ALTO;3. MEDIO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-09;4. BAJO;3. MEDIO;2. ALTO;2. ALTO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-10;5. MUY BAJO;4. BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-11;4. BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-12;4. BAJO;3. MEDIO;3. MEDIO;2. ALTO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-13;4. BAJO;3. MEDIO;2. ALTO;2. ALTO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-14;5. MUY BAJO;3. MEDIO;3. MEDIO;2. ALTO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-15;5. MUY BAJO;4. BAJO;4. BAJO;3. MEDIO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-16;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;3. MEDIO
Teruel;-1.108396;40.33642;2015-01-17;4. BAJO;5. MUY BAJO;4. BAJO;2. ALTO;4. BAJO
Teruel;-1.108396;40.33642;2015-01-18;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO;5. MUY BAJO
Teruel;-1.108396;40.33642;2015-01-19;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO;4. BAJO
