Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;CO;O3;SH2;BEN;TOL;OXL
ABANTO;-3.074155996;43.32047399;2015-08-29;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-28;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-27;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-26;4. BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-25;4. BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-24;4. BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-23;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-22;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;4. BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-21;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-20;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;;;
ABANTO;-3.074155996;43.32047399;2015-08-19;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;3. MEDIO;;;;;;;
ABANTO;-3.074155996;43.32047399;2015-08-18;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-17;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;3. MEDIO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-16;5. MUY BAJO;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-15;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-14;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-13;3. MEDIO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-12;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-11;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;4. BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-08-10;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
