Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;PM10;O3
GUARDO;-4.82722;42.70361;2014-02-15;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-02-16;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-02-17;2. ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-02-18;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-02-19;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-02-20;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-02-21;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-02-22;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-02-23;2. ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-02-24;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-02-25;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-02-26;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-02-27;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-02-28;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-03-01;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-03-02;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-03-03;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-03-04;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-03-05;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-03-06;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-03-07;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
