Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;PM10;O3
GUARDO;-4.82722;42.70361;2014-07-21;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;
GUARDO;-4.82722;42.70361;2014-07-22;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-07-23;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-07-24;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-07-25;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-07-26;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-07-27;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-07-28;4. BAJO;5. MUY BAJO;4. BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-07-29;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-07-30;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-07-31;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-08-01;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-02;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-03;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-04;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-05;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-08-06;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-07;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-08;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-09;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-10;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-11;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-12;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-13;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-08-14;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-08-15;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-08-16;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-08-17;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-08-18;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-08-19;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-08-20;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-21;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-22;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-23;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-24;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-08-25;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-08-26;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-08-27;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-28;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-29;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-08-30;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-08-31;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-09-01;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-09-02;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO
GUARDO;-4.82722;42.70361;2014-09-03;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-09-04;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-09-05;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-09-06;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-07;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-08;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-09;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-09-10;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-09-11;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-09-12;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-09-13;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-14;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-15;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-16;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-09-17;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-18;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-19;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-20;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-21;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-22;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-09-23;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-24;4. BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-25;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-26;3. MEDIO;5. MUY BAJO;4. BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-27;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-09-28;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-29;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-09-30;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-01;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-02;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-03;;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-04;;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-05;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-10-06;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-07;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-08;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-10-09;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-10;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-10-11;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-10-12;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-10-13;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-14;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-15;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-16;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-17;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-18;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-19;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-20;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;2. ALTO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-10-21;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-10-22;4. BAJO;5. MUY BAJO;4. BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-23;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-10-24;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-10-25;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-10-26;4. BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-10-27;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-10-28;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-29;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-30;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;4. BAJO
GUARDO;-4.82722;42.70361;2014-10-31;4. BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-01;4. BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-02;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-03;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-04;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-05;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-06;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-07;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-08;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-09;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-10;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-11;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-12;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-13;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-14;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-11-15;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-16;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-11-17;4. BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-18;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-19;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-20;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-21;2. ALTO;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-22;2. ALTO;5. MUY BAJO;5. MUY BAJO;2. ALTO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-23;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-24;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-25;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-26;2. ALTO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-27;2. ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-11-28;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-29;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-11-30;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-12-01;2. ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-12-02;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-03;2. ALTO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-12-04;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-12-05;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-06;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-12-07;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-08;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-09;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-10;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-12-11;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-12-12;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-12-13;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-14;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-15;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-16;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-12-17;2. ALTO;5. MUY BAJO;4. BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-18;2. ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-12-19;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-12-20;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-12-21;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-22;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-23;4. BAJO;5. MUY BAJO;4. BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-24;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-12-25;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-12-26;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2014-12-27;2. ALTO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-28;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2014-12-29;1. MUY ALTO;5. MUY BAJO;3. MEDIO;3. MEDIO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-30;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2014-12-31;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-01;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-02;3. MEDIO;5. MUY BAJO;4. BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-03;2. ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-04;2. ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-05;3. MEDIO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-06;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-07;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-08;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-09;3. MEDIO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-10;3. MEDIO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-11;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-12;3. MEDIO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-13;3. MEDIO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-14;3. MEDIO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-15;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-16;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-17;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-18;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-19;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2015-01-20;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-21;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2015-01-22;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-23;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-24;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-25;1. MUY ALTO;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-26;1. MUY ALTO;4. BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-27;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-28;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-01-29;3. MEDIO;5. MUY BAJO;4. BAJO;5. MUY BAJO;
GUARDO;-4.82722;42.70361;2015-01-30;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-01-31;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2015-02-01;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2015-02-02;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-02-03;;5. MUY BAJO;4. BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2015-02-04;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2015-02-05;;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-02-06;;5. MUY BAJO;3. MEDIO;4. BAJO;4. BAJO
GUARDO;-4.82722;42.70361;2015-02-07;;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO
GUARDO;-4.82722;42.70361;2015-02-08;;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2015-02-09;;5. MUY BAJO;4. BAJO;4. BAJO;3. MEDIO
GUARDO;-4.82722;42.70361;2015-02-10;;5. MUY BAJO;3. MEDIO;4. BAJO;4. BAJO
