Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;PM10;CO;O3;SH2;BEN;TOL;XIL
Guarnizo;-3.83803162;43.407125;2015-04-20;;5. MUY BAJO;4. BAJO;;4. BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-04-21;;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-04-22;;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-04-23;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-04-24;;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-04-25;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-04-26;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;;;
Guarnizo;-3.83803162;43.407125;2015-04-27;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;;;
Guarnizo;-3.83803162;43.407125;2015-04-28;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-04-29;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-04-30;;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-01;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-02;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-03;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-04;;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-05;;5. MUY BAJO;4. BAJO;4. BAJO;4. BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-06;;5. MUY BAJO;4. BAJO;4. BAJO;4. BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-07;;5. MUY BAJO;3. MEDIO;3. MEDIO;4. BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-08;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;3. MEDIO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-09;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-10;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-11;;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;3. MEDIO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-12;;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-13;;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-14;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-15;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-16;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-17;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-18;;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-19;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;3. MEDIO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-20;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-21;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-22;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-23;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-24;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-25;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-26;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-27;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-28;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-29;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-30;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-05-31;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-01;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-02;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-03;;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-04;;5. MUY BAJO;4. BAJO;2. ALTO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-05;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-06;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-07;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-08;;5. MUY BAJO;5. MUY BAJO;2. ALTO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-09;;5. MUY BAJO;4. BAJO;2. ALTO;5. MUY BAJO;3. MEDIO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-10;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-11;;5. MUY BAJO;4. BAJO;2. ALTO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-12;;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-13;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;3. MEDIO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-14;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-15;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-16;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-17;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-18;;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-19;;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-20;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Guarnizo;-3.83803162;43.407125;2015-06-21;;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;;
