Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;CO;O3;SH2;BEN;TOL;OXL
ATEGORRIETA;-1.960650618;43.32199195;2015-09-15;;2. ALTO;1. MUY ALTO;1. MUY ALTO;4. BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-14;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-13;;3. MEDIO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-12;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-11;;3. MEDIO;2. ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-10;;2. ALTO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;3. MEDIO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-09;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-08;;4. BAJO;2. ALTO;1. MUY ALTO;4. BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-07;;4. BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-06;;4. BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-05;;4. BAJO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-04;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-03;;3. MEDIO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-02;;4. BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-09-01;;5. MUY BAJO;2. ALTO;2. ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-31;;4. BAJO;1. MUY ALTO;1. MUY ALTO;3. MEDIO;1. MUY ALTO;3. MEDIO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-30;;5. MUY BAJO;1. MUY ALTO;2. ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-29;;4. BAJO;2. ALTO;1. MUY ALTO;3. MEDIO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-28;;4. BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-27;;3. MEDIO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;3. MEDIO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-26;;5. MUY BAJO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-25;;4. BAJO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-24;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-23;;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-22;;5. MUY BAJO;3. MEDIO;2. ALTO;4. BAJO;1. MUY ALTO;3. MEDIO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-21;;4. BAJO;1. MUY ALTO;1. MUY ALTO;3. MEDIO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-20;;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-19;;5. MUY BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-18;;4. BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-17;;5. MUY BAJO;3. MEDIO;2. ALTO;4. BAJO;3. MEDIO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-16;;5. MUY BAJO;4. BAJO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-15;;5. MUY BAJO;3. MEDIO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-14;;5. MUY BAJO;2. ALTO;2. ALTO;4. BAJO;4. BAJO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-13;;5. MUY BAJO;2. ALTO;1. MUY ALTO;4. BAJO;2. ALTO;5. MUY BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-12;;4. BAJO;1. MUY ALTO;1. MUY ALTO;3. MEDIO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-11;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-10;;4. BAJO;2. ALTO;1. MUY ALTO;4. BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-09;;5. MUY BAJO;2. ALTO;2. ALTO;5. MUY BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-08;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-07;;5. MUY BAJO;1. MUY ALTO;2. ALTO;4. BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-06;;2. ALTO;1. MUY ALTO;1. MUY ALTO;3. MEDIO;1. MUY ALTO;3. MEDIO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-05;;4. BAJO;2. ALTO;1. MUY ALTO;3. MEDIO;2. ALTO;3. MEDIO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-04;;5. MUY BAJO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;4. BAJO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-03;;5. MUY BAJO;1. MUY ALTO;2. ALTO;4. BAJO;2. ALTO;4. BAJO;;;;;
ATEGORRIETA;-1.960650618;43.32199195;2015-08-02;;5. MUY BAJO;2. ALTO;2. ALTO;4. BAJO;2. ALTO;4. BAJO;;;;;
